,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
14084,9.4,9.99,99.99,2443438.569,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.49,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14085,10.49,9.99,99.99,2443490.506,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.35,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14086,9.76,9.99,99.99,2443560.338,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.85,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14087,10.38,9.99,99.99,2443599.298,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.14,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14088,9.84,9.99,99.99,2443607.281,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.76,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14089,10.5,9.99,99.99,2443789.529,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.23,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14090,10.36,9.99,99.99,2443791.542,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.22,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14091,9.93,9.99,99.99,2443830.385,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.85,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14092,10.08,9.99,99.99,2443837.477,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.03,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14093,10.49,9.99,99.99,2443878.297,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.23,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14094,10.03,9.99,99.99,2443931.292,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.93,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14095,10.53,9.99,99.99,2443935.313,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.35,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14096,10.52,9.99,99.99,2443957.287,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.35,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14097,10.2,9.99,99.99,2444132.588,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.02,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
