,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
0,99.99,9.99,4.72,2445190.683,9.99,99.99,9.99,5.3,9.99,9.99,4.49,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
1,11.17,9.99,99.99,2444811.458,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.44,9.99,99.99,9.99,99.99,9.99,1991CoKon..96.....S
2,10.7,9.99,99.99,2444822.451,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.14,9.99,99.99,9.99,99.99,9.99,1991CoKon..96.....S
3,10.53,9.99,99.99,2444840.4,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.96,9.99,99.99,9.99,99.99,9.99,1991CoKon..96.....S
4,11.14,9.99,99.99,2444870.318,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.31,9.99,99.99,9.99,99.99,9.99,1991CoKon..96.....S
5,11.17,9.99,99.99,2444874.327,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.4,9.99,99.99,9.99,99.99,9.99,1991CoKon..96.....S
6,99.99,9.99,4.881,2445490.601,9.99,99.99,9.99,5.528,9.99,9.99,4.631,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
7,99.99,9.99,4.93,2445573.364,9.99,99.99,9.99,5.502,9.99,9.99,4.692,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
8,99.99,9.99,4.693,2445602.293,9.99,99.99,9.99,5.283,9.99,9.99,4.454,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
9,99.99,9.99,4.727,2445888.498,9.99,99.99,9.99,5.355,9.99,9.99,4.492,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
10,99.99,9.99,4.71,2445951.329,9.99,99.99,9.99,5.315,9.99,9.99,4.469,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
11,99.99,9.99,4.875,2446201.596,9.99,99.99,9.99,5.406,9.99,9.99,4.658,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1992A&AS...93...93L
