,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
2251,9.47,9.99,99.99,2443298.489,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,7.75,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2252,9.25,9.99,99.99,2443304.462,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.73,9.99,7.64,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2253,9.22,9.99,99.99,2443337.457,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.86,9.99,7.51,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2254,9.11,9.99,99.99,2443647.477,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.74,9.99,7.39,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2255,8.4,9.99,99.99,2443679.408,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.52,9.99,6.96,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2256,9.43,9.99,99.99,2443701.388,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.19,9.99,7.65,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2257,9.55,9.99,99.99,2443705.44,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.2,9.99,7.77,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2258,7.88,9.99,99.99,2443714.353,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.66,9.99,6.75,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2259,8.16,9.99,99.99,2443720.338,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.13,9.99,6.88,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2260,8.29,9.99,99.99,2443722.452,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.35,9.99,6.92,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2261,8.86,9.99,99.99,2443732.449,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.41,9.99,7.22,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2262,9.17,9.99,99.99,2443739.354,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.82,9.99,7.4,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2263,9.43,9.99,99.99,2443753.28,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.01,9.99,7.68,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2264,7.9,9.99,99.99,2443761.269,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.78,9.99,6.75,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2265,8.02,9.99,99.99,2443763.415,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.96,9.99,6.78,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2266,8.61,9.99,99.99,2443772.293,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.92,9.99,7.07,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2267,9.06,9.99,99.99,2443781.299,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.68,9.99,7.33,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2268,9.36,9.99,99.99,2443789.318,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.99,9.99,7.58,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2269,8.16,9.99,99.99,2443803.229,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.0,9.99,6.92,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2270,9.01,9.99,99.99,2444049.469,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.61,9.99,7.31,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2271,9.49,9.99,99.99,2444066.44,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.14,9.99,7.75,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2272,9.23,9.99,99.99,2444101.49,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,7.53,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2273,9.41,9.99,99.99,2444150.327,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.09,9.99,7.63,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
2274,99.99,9.99,4.23,2445108.862,9.99,99.99,9.99,4.66,9.99,9.99,4.07,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
