,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
27142,10.46,9.99,99.99,2442364.33,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.43,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27143,10.56,9.99,99.99,2442397.263,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.48,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27144,10.31,9.99,99.99,2442407.34,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.35,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27145,11.18,9.99,99.99,2442645.525,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.96,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27146,10.39,9.99,99.99,2442712.293,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.36,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27147,11.16,9.99,99.99,2442715.447,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.87,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27148,11.08,9.99,99.99,2442720.414,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.83,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27149,11.01,9.99,99.99,2442738.295,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.88,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27150,10.6,9.99,99.99,2442990.556,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.52,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27151,10.71,9.99,99.99,2443045.33,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.58,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27152,10.82,9.99,99.99,2443045.572,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.63,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27153,11.25,9.99,99.99,2443140.228,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.98,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27154,10.54,9.99,99.99,2443163.238,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.52,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27155,10.38,9.99,99.99,2443337.537,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.44,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27156,11.02,9.99,99.99,2443340.403,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.79,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27157,10.77,9.99,99.99,2443342.492,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.67,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27158,11.22,9.99,99.99,2443363.499,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.98,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27159,10.84,9.99,99.99,2443437.486,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.67,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
27160,11.03,9.99,99.99,2443476.235,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.77,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
