,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
15873,10.12,9.99,99.99,2443424.635,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.8,9.99,9.12,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15874,9.82,9.99,99.99,2443425.639,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.48,9.99,8.91,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15875,9.96,9.99,99.99,2443438.628,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.93,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15876,10.23,9.99,99.99,2443460.493,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.12,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15877,10.57,9.99,99.99,2443483.62,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.46,9.99,9.36,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15878,9.68,9.99,99.99,2443599.328,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.4,9.99,8.76,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15879,10.28,9.99,99.99,2443789.485,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.27,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15880,9.77,9.99,99.99,2443791.601,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.41,9.99,8.84,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15881,9.79,9.99,99.99,2443803.393,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.56,9.99,8.86,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
15882,10.47,9.99,99.99,2443849.454,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.25,9.99,9.33,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
