,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
7141,11.04,9.99,99.99,2443647.526,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.22,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7142,10.93,9.99,99.99,2443679.478,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.14,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7143,10.34,9.99,99.99,2443693.44,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.82,9.99,8.69,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7144,10.66,9.99,99.99,2443701.422,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.94,9.99,9.04,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7145,10.23,9.99,99.99,2443703.518,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.26,9.99,8.77,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7146,9.4,9.99,99.99,2443705.406,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.2,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7147,10.98,9.99,99.99,2443714.383,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.65,9.99,9.15,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7148,10.09,9.99,99.99,2443743.4,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.48,9.99,8.58,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7149,10.76,9.99,99.99,2443747.311,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.47,9.99,9.0,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7150,11.1,9.99,99.99,2443749.405,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.25,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7151,10.22,9.99,99.99,2443761.289,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.65,9.99,8.65,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7152,10.57,9.99,99.99,2443763.315,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.01,9.99,8.88,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7153,10.68,9.99,99.99,2443798.223,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.29,9.99,8.96,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7154,10.83,9.99,99.99,2443803.213,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.25,9.99,9.17,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7155,9.63,9.99,99.99,2443809.239,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.57,9.99,8.31,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7156,9.66,9.99,99.99,2444049.529,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.85,9.99,8.34,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7157,9.76,9.99,99.99,2444050.47,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.97,9.99,8.41,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7158,9.92,9.99,99.99,2444102.33,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.47,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7159,10.48,9.99,99.99,2444113.313,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.71,9.99,8.95,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7160,9.11,9.99,99.99,2444150.264,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.15,9.99,8.04,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
7161,99.99,9.99,5.56,2445108.848,9.99,99.99,9.99,6.07,9.99,9.99,5.39,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
7162,99.99,9.99,5.35,2445110.799,9.99,99.99,9.99,5.77,9.99,9.99,5.18,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
7163,99.99,9.99,5.3,2445112.867,9.99,99.99,9.99,5.72,9.99,9.99,5.14,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
