,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
8988,11.27,9.99,99.99,2443298.469,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.61,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8989,10.23,9.99,99.99,2443337.481,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.93,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8990,11.62,9.99,99.99,2443437.263,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.83,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8991,11.54,9.99,99.99,2443483.295,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.81,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8992,11.57,9.99,99.99,2443693.523,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.81,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8993,10.28,9.99,99.99,2443714.501,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.02,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8994,11.19,9.99,99.99,2443720.541,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.49,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8995,11.42,9.99,99.99,2443722.537,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.69,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8996,10.92,9.99,99.99,2443743.518,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.55,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8997,10.78,9.99,99.99,2443763.438,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.19,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8998,11.06,9.99,99.99,2443772.407,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.54,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
8999,10.42,9.99,99.99,2443777.279,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.06,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9000,10.7,9.99,99.99,2443789.425,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.31,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9001,10.28,9.99,99.99,2443791.364,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.97,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9002,10.95,9.99,99.99,2443795.367,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.36,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9003,11.08,9.99,99.99,2443803.27,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.56,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9004,11.39,9.99,99.99,2444054.395,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.66,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9005,10.85,9.99,99.99,2444066.408,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.26,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9006,11.14,9.99,99.99,2444174.228,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.46,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
9007,10.176,9.99,99.99,2444908.6393,9.99,7.501,9.99,99.99,9.99,9.99,99.99,8.212,9.99,99.99,9.99,8.959,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9008,10.184,9.99,99.99,2444107.9248,9.99,7.508,9.99,99.99,9.99,9.99,99.99,8.204,9.99,99.99,9.99,8.969,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9009,10.189,9.99,99.99,2444485.8222,9.99,7.508,9.99,99.99,9.99,9.99,99.99,8.211,9.99,99.99,9.99,8.979,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9010,10.222,9.99,99.99,2444077.961,9.99,7.481,9.99,99.99,9.99,9.99,99.99,8.205,9.99,99.99,9.99,8.973,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9011,10.318,9.99,99.99,2444909.6553,9.99,7.539,9.99,99.99,9.99,9.99,99.99,8.249,9.99,99.99,9.99,9.038,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9012,10.397,9.99,99.99,2444486.8822,9.99,7.533,9.99,99.99,9.99,9.99,99.99,8.264,9.99,99.99,9.99,9.073,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9013,10.521,9.99,99.99,2444910.6378,9.99,7.582,9.99,99.99,9.99,9.99,99.99,8.333,9.99,99.99,9.99,9.151,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9014,10.675,9.99,99.99,2444941.6058,9.99,7.618,9.99,99.99,9.99,9.99,99.99,8.37,9.99,99.99,9.99,9.204,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9015,10.772,9.99,99.99,2444564.5606,9.99,7.65,9.99,99.99,9.99,9.99,99.99,8.4,9.99,99.99,9.99,9.28,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9016,10.955,9.99,99.99,2444459.9431,9.99,7.727,9.99,99.99,9.99,9.99,99.99,8.491,9.99,99.99,9.99,9.414,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9017,11.131,9.99,99.99,2444460.9096,9.99,7.799,9.99,99.99,9.99,9.99,99.99,8.569,9.99,99.99,9.99,9.495,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9018,11.293,9.99,99.99,2444461.8901,9.99,7.872,9.99,99.99,9.99,9.99,99.99,8.656,9.99,99.99,9.99,9.611,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9019,11.403,9.99,99.99,2444099.8447,9.99,7.904,9.99,99.99,9.99,9.99,99.99,8.717,9.99,99.99,9.99,9.675,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9020,11.483,9.99,99.99,2444432.9693,9.99,7.984,9.99,99.99,9.99,9.99,99.99,8.789,9.99,99.99,9.99,9.75,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9021,11.509,9.99,99.99,2444100.8977,9.99,7.964,9.99,99.99,9.99,9.99,99.99,8.769,9.99,99.99,9.99,9.753,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9022,11.541,9.99,99.99,2444886.7538,9.99,8.035,9.99,99.99,9.99,9.99,99.99,8.819,9.99,99.99,9.99,9.789,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9023,11.628,9.99,99.99,2444494.8605,9.99,8.049,9.99,99.99,9.99,9.99,99.99,8.876,9.99,99.99,9.99,9.848,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9024,11.582,9.99,99.99,2444555.5768,9.99,8.074,9.99,99.99,9.99,9.99,99.99,8.865,9.99,99.99,9.99,9.837,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9025,11.535,9.99,99.99,2444434.9537,9.99,8.097,9.99,99.99,9.99,9.99,99.99,8.895,9.99,99.99,9.99,9.853,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9026,11.479,9.99,99.99,2444556.5815,9.99,8.061,9.99,99.99,9.99,9.99,99.99,8.838,9.99,99.99,9.99,9.795,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9027,11.302,9.99,99.99,2445267.5682,9.99,7.987,9.99,99.99,9.99,9.99,99.99,8.787,9.99,99.99,9.99,9.699,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9028,11.246,9.99,99.99,2445267.7135,9.99,7.97,9.99,99.99,9.99,9.99,99.99,8.777,9.99,99.99,9.99,9.681,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9029,11.153,9.99,99.99,2444436.9381,9.99,7.939,9.99,99.99,9.99,9.99,99.99,8.718,9.99,99.99,9.99,9.623,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9030,11.072,9.99,99.99,2444105.8846,9.99,7.945,9.99,99.99,9.99,9.99,99.99,8.71,9.99,99.99,9.99,9.587,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9031,10.468,9.99,99.99,2444106.8812,9.99,7.688,9.99,99.99,9.99,9.99,99.99,8.412,9.99,99.99,9.99,9.204,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9032,10.227,9.99,99.99,2444938.6074,9.99,7.54,9.99,99.99,9.99,9.99,99.99,8.236,9.99,99.99,9.99,8.999,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
9033,11.142,9.99,99.99,2445488.2851,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.582,9.99,12.589,9.99,9.472,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9034,11.098,9.99,99.99,2445503.2578,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.56,9.99,12.516,9.99,9.441,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9035,11.432,9.99,99.99,2445505.25,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.76,9.99,13.118,9.99,9.674,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9036,11.613,9.99,99.99,2445508.2304,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.935,9.99,12.989,9.99,9.854,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9037,11.361,9.99,99.99,2445509.2421,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.831,9.99,12.617,9.99,9.736,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9038,10.397,9.99,99.99,2445512.25,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.348,9.99,11.324,9.99,9.113,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9039,10.41,9.99,99.99,2445648.2343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.365,9.99,11.367,9.99,9.123,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9040,10.195,9.99,99.99,2445649.25,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.189,9.99,11.138,9.99,8.943,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9041,11.77,9.99,99.99,2445658.1835,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.036,9.99,99.99,9.99,9.953,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9042,11.385,9.99,99.99,2445660.2304,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.826,9.99,99.99,9.99,9.72,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9043,10.339,9.99,99.99,2445665.2187,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.238,9.99,11.318,9.99,9.011,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9044,10.582,9.99,99.99,2445666.1679,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.309,9.99,11.675,9.99,9.133,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9045,10.9,9.99,99.99,2445668.2147,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.454,9.99,99.99,9.99,9.325,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9046,11.573,9.99,99.99,2445674.1796,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.891,9.99,99.99,9.99,9.821,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9047,11.48,9.99,99.99,2445675.1875,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.871,9.99,99.99,9.99,9.784,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9048,11.132,9.99,99.99,2445676.1718,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.703,9.99,12.386,9.99,9.575,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9049,10.214,9.99,99.99,2445679.1522,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.207,9.99,11.123,9.99,8.952,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
9050,11.11,9.99,99.99,2447399.3535,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.725,9.99,12.312,9.99,9.587,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9051,10.928,9.99,99.99,2447400.29,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.629,9.99,99.99,9.99,9.468,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9052,10.337,9.99,99.99,2447401.2861,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.292,9.99,11.199,9.99,9.037,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9053,10.273,9.99,99.99,2447402.2912,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.236,9.99,99.99,9.99,8.992,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9054,10.477,9.99,99.99,2447403.3274,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.301,9.99,99.99,9.99,9.082,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9055,10.665,9.99,99.99,2447404.2935,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.395,9.99,99.99,9.99,9.19,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9056,99.99,9.99,99.99,2447407.2892,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.56,9.99,99.99,9.99,9.454,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9057,11.303,9.99,99.99,2447408.298,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.673,9.99,99.99,9.99,9.575,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9058,11.477,9.99,99.99,2447409.292,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.806,9.99,99.99,9.99,9.742,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9059,11.607,9.99,99.99,2447410.3049,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.881,9.99,99.99,9.99,9.831,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9060,11.644,9.99,99.99,2447411.3099,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.938,9.99,99.99,9.99,9.881,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9061,11.342,9.99,99.99,2447413.2864,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.809,9.99,99.99,9.99,9.714,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9062,11.168,9.99,99.99,2447414.2846,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.584,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9063,11.062,9.99,99.99,2447415.2634,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.715,9.99,99.99,9.99,9.564,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9064,10.389,9.99,99.99,2447416.2614,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.339,9.99,99.99,9.99,9.094,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9065,10.236,9.99,99.99,2447417.2513,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.218,9.99,99.99,9.99,8.957,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9066,10.428,9.99,99.99,2447418.2509,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.273,9.99,99.99,9.99,9.052,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9067,10.667,9.99,99.99,2447419.2259,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.37,9.99,99.99,9.99,9.188,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
9068,10.809,9.99,99.99,2447420.2259,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.417,9.99,99.99,9.99,9.257,9.99,99.99,9.99,99.99,9.99,1992A+AT....2...43B
