,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
3964,7.97,9.99,99.99,2443481.462,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.98,9.99,6.54,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
3965,7.63,9.99,99.99,2443483.452,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.31,9.99,6.37,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
3966,6.8,9.99,99.99,2443489.429,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,7.4,9.99,5.73,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
3967,6.96,9.99,99.99,2443490.454,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,7.66,9.99,5.77,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
3968,8.05,9.99,99.99,2443560.36,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.1,9.99,6.59,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
3969,7.97,9.99,99.99,2443777.607,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.93,9.99,6.52,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
3970,7.16,9.99,99.99,2443789.632,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.0,9.99,5.85,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
3971,7.4,9.99,99.99,2443791.624,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.36,9.99,6.01,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
3972,7.53,9.99,99.99,2443793.636,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.6,9.99,6.11,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
3973,7.68,9.99,99.99,2443849.484,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.85,9.99,6.23,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
