,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
10589,7.9,9.99,99.99,2443647.546,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.72,9.99,6.77,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
10590,8.75,9.99,99.99,2443679.456,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.08,9.99,7.28,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
10591,8.21,9.99,99.99,2443690.414,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.28,9.99,6.93,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
10592,7.63,9.99,99.99,2443701.407,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.39,9.99,6.65,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
10593,8.09,9.99,99.99,2443703.506,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.15,9.99,6.85,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
10594,8.49,9.99,99.99,2443705.394,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.67,9.99,7.1,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
10595,8.79,9.99,99.99,2443707.443,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.15,9.99,7.32,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
10596,7.67,9.99,99.99,2443714.371,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.3,9.99,6.67,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
10597,9.12,9.99,99.99,2443722.411,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.64,9.99,7.52,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
10598,9.06,9.99,99.99,2443724.437,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.66,9.99,7.56,9.99,99.99,9.99,99.99,9.99,1981CoKon..77....1S
