,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
30836,99.99,9.99,99.99,2453073.0308,9.99,9.306,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.819,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30837,99.99,9.99,99.99,2453080.9683,9.99,9.076,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.487,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30838,99.99,9.99,99.99,2453081.9455,9.99,9.245,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.748,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30839,99.99,9.99,99.99,2453082.9496,9.99,9.361,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.898,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30840,99.99,9.99,99.99,2453083.8872,9.99,9.353,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.782,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30841,99.99,9.99,99.99,2453083.9746,9.99,9.226,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.631,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30842,99.99,9.99,99.99,2453084.8983,9.99,9.01,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.291,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30843,99.99,9.99,99.99,2453084.9657,9.99,8.989,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.287,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30844,99.99,9.99,99.99,2453088.958,9.99,8.966,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.301,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30845,99.99,9.99,99.99,2453097.9781,9.99,9.226,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.64,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30846,99.99,9.99,99.99,2453100.9789,9.99,9.289,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.791,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30847,99.99,9.99,99.99,2453102.9731,9.99,8.996,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.279,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30848,99.99,9.99,99.99,2453103.9808,9.99,9.031,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.374,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30849,99.99,9.99,99.99,2453104.9824,9.99,9.168,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.656,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30850,99.99,9.99,99.99,2453107.9916,9.99,8.911,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.172,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30851,99.99,9.99,99.99,2453108.9595,9.99,9.054,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.466,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30852,99.99,9.99,99.99,2453110.9659,9.99,9.34,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.899,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30853,99.99,9.99,99.99,2453111.9511,9.99,9.282,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.705,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30854,99.99,9.99,99.99,2453113.9505,9.99,9.125,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.555,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30855,99.99,9.99,99.99,2453115.9477,9.99,9.389,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.924,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30856,99.99,9.99,99.99,2453116.8691,9.99,9.086,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.41,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30857,99.99,9.99,99.99,2453116.9401,9.99,9.038,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.33,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30858,99.99,9.99,99.99,2453117.867,9.99,8.996,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.33,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30859,99.99,9.99,99.99,2453117.9409,9.99,8.98,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.33,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
30860,99.99,9.99,99.99,2450808.4596,9.99,9.337,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.864,9.99,99.99,9.99,99.99,9.99,2000A+AT...18..657B
30861,99.99,9.99,99.99,2450809.3573,9.99,9.409,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.903,9.99,99.99,9.99,99.99,9.99,2000A+AT...18..657B
30862,99.99,9.99,99.99,2450809.4761,9.99,9.354,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.829,9.99,99.99,9.99,99.99,9.99,2000A+AT...18..657B
30863,99.99,9.99,99.99,2450810.3497,9.99,8.931,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.175,9.99,99.99,9.99,99.99,9.99,2000A+AT...18..657B
30864,99.99,9.99,99.99,2450810.497,9.99,8.949,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.207,9.99,99.99,9.99,99.99,9.99,2000A+AT...18..657B
30865,99.99,9.99,99.99,2450811.3802,9.99,9.115,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.507,9.99,99.99,9.99,99.99,9.99,2000A+AT...18..657B
30866,99.99,9.99,99.99,2450812.3425,9.99,9.233,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.716,9.99,99.99,9.99,99.99,9.99,2000A+AT...18..657B
30867,99.99,9.99,99.99,2450812.4716,9.99,9.249,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.749,9.99,99.99,9.99,99.99,9.99,2000A+AT...18..657B
30868,99.99,9.99,99.99,2450814.4842,9.99,9.193,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.545,9.99,99.99,9.99,99.99,9.99,2000A+AT...18..657B
30869,99.99,9.99,99.99,2450815.4195,9.99,8.979,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.28,9.99,99.99,9.99,99.99,9.99,2000A+AT...18..657B
30870,99.99,9.99,99.99,2450816.3672,9.99,9.11,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.549,9.99,99.99,9.99,99.99,9.99,2000A+AT...18..657B
30871,99.99,9.99,99.99,2450816.5061,9.99,9.148,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.602,9.99,99.99,9.99,99.99,9.99,2000A+AT...18..657B
30872,99.99,9.99,99.99,2450817.414,9.99,9.282,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.794,9.99,99.99,9.99,99.99,9.99,2000A+AT...18..657B
30873,99.99,9.99,7.557,2454487.784,9.99,99.99,9.99,8.075,9.99,9.99,7.44,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2009AAS...21343307M
30874,99.99,9.99,7.685,2454488.79,9.99,99.99,9.99,8.188,9.99,9.99,7.505,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2009AAS...21343307M
30875,99.99,9.99,7.684,2454489.771,9.99,99.99,9.99,8.106,9.99,9.99,7.513,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2009AAS...21343307M
30876,99.99,9.99,7.498,2454490.762,9.99,99.99,9.99,7.909,9.99,9.99,7.379,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2009AAS...21343307M
30877,99.99,9.99,7.604,2454492.754,9.99,99.99,9.99,8.101,9.99,9.99,7.412,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2009AAS...21343307M
30878,99.99,9.99,7.709,2454512.698,9.99,99.99,9.99,8.221,9.99,9.99,7.502,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2009AAS...21343307M
30879,99.99,9.99,7.591,2454515.689,9.99,99.99,9.99,8.054,9.99,9.99,7.448,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2009AAS...21343307M
30880,99.99,9.99,7.649,2454516.744,9.99,99.99,9.99,8.138,9.99,9.99,7.473,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2009AAS...21343307M
30881,99.99,9.99,7.543,2454520.607,9.99,99.99,9.99,8.064,9.99,9.99,7.414,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2009AAS...21343307M
