,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
22171,10.106,9.99,99.99,2445011.8432,9.99,8.25,9.99,99.99,9.99,9.99,99.99,8.745,9.99,99.99,9.99,9.273,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22172,10.104,9.99,99.99,2444913.9632,9.99,8.25,9.99,99.99,9.99,9.99,99.99,8.774,9.99,99.99,9.99,9.284,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22173,10.094,9.99,99.99,2444941.9487,9.99,8.234,9.99,99.99,9.99,9.99,99.99,8.764,9.99,99.99,9.99,9.294,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22174,10.273,9.99,99.99,2444984.795,9.99,8.252,9.99,99.99,9.99,9.99,99.99,8.796,9.99,99.99,9.99,9.361,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22175,10.301,9.99,99.99,2445012.8048,9.99,8.276,9.99,99.99,9.99,9.99,99.99,8.827,9.99,99.99,9.99,9.38,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22176,10.331,9.99,99.99,2444984.8932,9.99,8.283,9.99,99.99,9.99,9.99,99.99,8.827,9.99,99.99,9.99,9.393,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22177,10.475,9.99,99.99,2444985.7249,9.99,8.337,9.99,99.99,9.99,9.99,99.99,8.909,9.99,99.99,9.99,9.488,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22178,10.506,9.99,99.99,2444908.9471,9.99,8.359,9.99,99.99,9.99,9.99,99.99,8.931,9.99,99.99,9.99,9.516,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22179,10.665,9.99,99.99,2444216.9997,9.99,8.403,9.99,99.99,9.99,9.99,99.99,8.996,9.99,99.99,9.99,9.607,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22180,10.749,9.99,99.99,2445014.8086,9.99,8.465,9.99,99.99,9.99,9.99,99.99,9.036,9.99,99.99,9.99,9.659,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22181,10.759,9.99,99.99,2444909.9676,9.99,8.472,9.99,99.99,9.99,9.99,99.99,9.058,9.99,99.99,9.99,9.681,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22182,10.841,9.99,99.99,2444217.8926,9.99,8.5,9.99,99.99,9.99,9.99,99.99,9.099,9.99,99.99,9.99,9.738,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22183,10.976,9.99,99.99,2444987.8742,9.99,8.575,9.99,99.99,9.99,9.99,99.99,9.174,9.99,99.99,9.99,9.841,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22184,10.96,9.99,99.99,2444910.9731,9.99,8.584,9.99,99.99,9.99,9.99,99.99,9.19,9.99,99.99,9.99,9.833,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22185,11.052,9.99,99.99,2444561.9461,9.99,8.659,9.99,99.99,9.99,9.99,99.99,9.266,9.99,99.99,9.99,9.913,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22186,10.984,9.99,99.99,2444911.9814,9.99,8.654,9.99,99.99,9.99,9.99,99.99,9.247,9.99,99.99,9.99,9.873,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22187,10.533,9.99,99.99,2444555.9496,9.99,8.457,9.99,99.99,9.99,9.99,99.99,9.015,9.99,99.99,9.99,9.589,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22188,10.479,9.99,99.99,2444912.8462,9.99,8.441,9.99,99.99,9.99,9.99,99.99,8.971,9.99,99.99,9.99,9.545,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22189,10.417,9.99,99.99,2444912.9602,9.99,8.414,9.99,99.99,9.99,9.99,99.99,8.965,9.99,99.99,9.99,9.517,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22190,10.117,9.99,99.99,2444563.8043,9.99,8.263,9.99,99.99,9.99,9.99,99.99,8.78,9.99,99.99,9.99,9.308,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22191,10.093,9.99,99.99,2444563.8642,9.99,8.249,9.99,99.99,9.99,9.99,99.99,8.78,9.99,99.99,9.99,9.288,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22192,10.086,9.99,99.99,2444563.9069,9.99,8.251,9.99,99.99,9.99,9.99,99.99,8.767,9.99,99.99,9.99,9.276,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22193,10.093,9.99,99.99,2444563.9401,9.99,8.256,9.99,99.99,9.99,9.99,99.99,8.773,9.99,99.99,9.99,9.281,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22194,10.079,9.99,99.99,2444563.9922,9.99,8.248,9.99,99.99,9.99,9.99,99.99,8.765,9.99,99.99,9.99,9.274,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
22195,10.085,9.99,99.99,2445011.6951,9.99,8.247,9.99,99.99,9.99,9.99,99.99,8.763,9.99,99.99,9.99,9.272,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
