,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
10020,12.12,9.99,99.99,2443437.281,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.01,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
10021,11.82,9.99,99.99,2443483.31,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.84,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
10022,11.55,9.99,99.99,2443705.54,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.62,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
10023,10.82,9.99,99.99,2443722.494,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.09,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
10024,11.24,9.99,99.99,2443724.519,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.33,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
10025,12.05,9.99,99.99,2443761.409,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.95,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
10026,11.71,9.99,99.99,2443763.464,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.72,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
10027,10.52,9.99,99.99,2443765.37,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.9,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
10028,11.81,9.99,99.99,2443772.364,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.68,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
10029,12.08,9.99,99.99,2443789.345,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.99,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
