,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
17998,11.716,9.99,99.99,2444984.8123,9.99,9.39,9.99,99.99,9.99,9.99,99.99,10.04,9.99,99.99,9.99,10.676,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
17999,11.753,9.99,99.99,2445045.7439,9.99,9.421,9.99,99.99,9.99,9.99,99.99,10.071,9.99,99.99,9.99,10.69,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
18000,11.882,9.99,99.99,2444941.7998,9.99,9.467,9.99,99.99,9.99,9.99,99.99,10.13,9.99,99.99,9.99,10.779,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
18001,11.914,9.99,99.99,2444941.8947,9.99,9.49,9.99,99.99,9.99,9.99,99.99,10.16,9.99,99.99,9.99,10.824,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
18002,12.018,9.99,99.99,2444985.7315,9.99,9.555,9.99,99.99,9.99,9.99,99.99,10.203,9.99,99.99,9.99,10.888,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
18003,12.053,9.99,99.99,2444985.8096,9.99,9.542,9.99,99.99,9.99,9.99,99.99,10.211,9.99,99.99,9.99,10.909,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
18004,12.093,9.99,99.99,2444985.9267,9.99,9.577,9.99,99.99,9.99,9.99,99.99,10.225,9.99,99.99,9.99,10.914,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
18005,12.18,9.99,99.99,2445012.712,9.99,9.618,9.99,99.99,9.99,9.99,99.99,10.294,9.99,99.99,9.99,11.0,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
18006,12.208,9.99,99.99,2444986.7107,9.99,9.609,9.99,99.99,9.99,9.99,99.99,10.293,9.99,99.99,9.99,11.002,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
18007,12.259,9.99,99.99,2444986.9055,9.99,9.634,9.99,99.99,9.99,9.99,99.99,10.324,9.99,99.99,9.99,11.05,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
18008,12.299,9.99,99.99,2444908.9199,9.99,9.669,9.99,99.99,9.99,9.99,99.99,10.373,9.99,99.99,9.99,11.099,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
18009,12.502,9.99,99.99,2444909.933,9.99,9.813,9.99,99.99,9.99,9.99,99.99,10.495,9.99,99.99,9.99,11.25,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
18010,12.542,9.99,99.99,2444561.9265,9.99,9.832,9.99,99.99,9.99,9.99,99.99,10.507,9.99,99.99,9.99,11.26,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
18011,12.567,9.99,99.99,2445014.6496,9.99,9.835,9.99,99.99,9.99,9.99,99.99,10.525,9.99,99.99,9.99,11.267,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
18012,12.582,9.99,99.99,2445014.6947,9.99,9.827,9.99,99.99,9.99,9.99,99.99,10.523,9.99,99.99,9.99,11.282,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
