,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
33122,12.588,0.009,99.99,2447167.7617,9.99,10.182,0.006,99.99,9.99,9.99,99.99,10.837,0.006,99.99,9.99,11.467,0.004,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33123,13.023,0.01,99.99,2447168.8367,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.734,0.006,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33124,13.269,0.004,99.99,2447169.896,9.99,10.473,0.009,99.99,9.99,9.99,99.99,11.197,0.007,99.99,9.99,11.921,0.003,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33125,12.962,0.012,99.99,2447170.7931,9.99,10.384,0.01,99.99,9.99,9.99,99.99,11.068,0.01,99.99,9.99,11.752,0.004,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33126,12.608,0.008,99.99,2447171.8186,9.99,10.188,0.013,99.99,9.99,9.99,99.99,10.852,0.011,99.99,9.99,11.49,0.006,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33127,13.014,0.007,99.99,2449445.7029,9.99,10.341,0.01,99.99,9.99,9.99,99.99,11.081,0.003,99.99,9.99,11.769,0.003,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33128,13.029,0.011,99.99,2449813.6748,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.849,0.004,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33129,12.535,0.004,99.99,2449814.6557,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.483,0.002,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33130,12.993,0.013,99.99,2449831.6132,9.99,10.351,0.043,99.99,9.99,9.99,99.99,11.071,0.004,99.99,9.99,11.752,0.001,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33131,13.296,0.015,99.99,2450078.881,9.99,10.646,0.06,99.99,9.99,9.99,99.99,11.281,0.005,99.99,9.99,12.037,0.005,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33132,12.602,0.031,99.99,2450107.673,9.99,10.271,0.037,99.99,9.99,9.99,99.99,10.924,0.036,99.99,9.99,11.551,0.027,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33133,13.32,0.02,99.99,2450110.8129,9.99,10.578,9.99,99.99,9.99,9.99,99.99,11.282,9.99,99.99,9.99,12.034,0.019,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33134,12.51,0.028,99.99,2450111.7711,9.99,10.238,0.024,99.99,9.99,9.99,99.99,10.88,0.024,99.99,9.99,11.491,0.023,99.99,9.99,99.99,9.99,1996AJ....112.2757H
33135,13.338,9.99,99.99,2451619.2856,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.016,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33136,13.282,9.99,99.99,2451619.3671,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.005,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33137,99.99,9.99,99.99,2451622.2627,9.99,10.421,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.826,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33138,99.99,9.99,99.99,2451622.309,9.99,10.416,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.855,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33139,99.99,9.99,99.99,2451623.2781,9.99,10.536,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.995,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33140,99.99,9.99,99.99,2451624.2708,9.99,10.252,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.506,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33141,99.99,9.99,99.99,2451625.2546,9.99,10.249,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.57,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33142,99.99,9.99,99.99,2451626.2692,9.99,10.399,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.83,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33143,99.99,9.99,99.99,2451635.2572,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.01,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33144,99.99,9.99,99.99,2451637.2456,9.99,10.234,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.54,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33145,99.99,9.99,99.99,2451648.2464,9.99,10.356,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.638,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33146,99.99,9.99,99.99,2451649.2345,9.99,10.262,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.552,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33147,99.99,9.99,99.99,2451652.2283,9.99,10.372,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.682,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33148,99.99,9.99,99.99,2451653.223,9.99,10.249,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.521,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33149,99.99,9.99,99.99,2451654.2189,9.99,10.414,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.81,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33150,99.99,9.99,99.99,2451656.2168,9.99,10.393,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.713,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33151,99.99,9.99,99.99,2451657.2191,9.99,10.254,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.522,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33152,99.99,9.99,99.99,2451667.2157,9.99,10.523,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.959,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33153,99.99,9.99,99.99,2451668.2053,9.99,10.407,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.775,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33154,99.99,9.99,99.99,2451669.2097,9.99,10.255,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.51,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33155,99.99,9.99,99.99,2451670.2044,9.99,10.358,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.761,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33156,99.99,9.99,99.99,2451671.2029,9.99,10.495,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.938,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....3B
33157,12.555,9.99,99.99,2451942.0791,9.99,10.311,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.514,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33158,99.99,9.99,99.99,2451943.1455,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33159,99.99,9.99,99.99,2451944.9627,9.99,10.506,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.945,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33160,12.677,9.99,99.99,2451946.9763,9.99,10.28,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.576,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33161,12.827,9.99,99.99,2451947.0826,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.664,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33162,13.146,9.99,99.99,2451947.9594,9.99,10.423,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.847,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33163,13.264,9.99,99.99,2451948.9407,9.99,10.52,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.96,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33164,12.757,9.99,99.99,2451953.9496,9.99,10.373,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.657,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33165,13.263,9.99,99.99,2451956.9557,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.918,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33166,12.807,9.99,99.99,2451957.9499,9.99,10.421,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.677,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33167,12.602,9.99,99.99,2451958.954,9.99,10.252,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.526,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33168,12.749,9.99,99.99,2451962.0018,9.99,10.345,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.63,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33169,12.619,9.99,99.99,2451962.9497,9.99,10.244,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.528,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33170,12.653,9.99,99.99,2451962.9891,9.99,10.276,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.564,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33171,13.086,9.99,99.99,2451963.9941,9.99,10.448,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.837,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33172,13.222,9.99,99.99,2451964.947,9.99,10.53,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.933,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33173,13.255,9.99,99.99,2451968.9665,9.99,10.538,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.963,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33174,12.95,9.99,99.99,2451969.9282,9.99,10.459,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.801,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33175,12.578,9.99,99.99,2451970.9227,9.99,10.25,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.521,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33176,13.006,9.99,99.99,2451971.9223,9.99,10.393,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.781,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33177,13.242,9.99,99.99,2451972.9188,9.99,10.51,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.959,9.99,99.99,9.99,99.99,9.99,2001ApJS..137..209B
33178,99.99,9.99,99.99,2452621.4471,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.878,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33179,99.99,9.99,99.99,2452622.4836,9.99,10.211,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.457,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33180,99.99,9.99,99.99,2452624.4082,9.99,10.473,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.892,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33181,99.99,9.99,99.99,2452626.3591,9.99,10.175,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.391,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33182,99.99,9.99,99.99,2452627.3885,9.99,10.337,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.699,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33183,99.99,9.99,99.99,2452628.3596,9.99,10.444,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.876,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33184,99.99,9.99,99.99,2452628.4022,9.99,10.477,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.898,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33185,99.99,9.99,99.99,2452631.4755,9.99,10.321,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.685,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33186,99.99,9.99,99.99,2452633.3585,9.99,10.53,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.939,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33187,99.99,9.99,99.99,2452635.3588,9.99,10.294,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.669,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33188,99.99,9.99,99.99,2452635.4813,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.712,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33189,99.99,9.99,99.99,2452637.3301,9.99,10.592,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.984,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33190,99.99,9.99,99.99,2452646.3456,9.99,10.194,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.413,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33191,99.99,9.99,99.99,2452649.3358,9.99,10.558,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.988,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33192,99.99,9.99,99.99,2452650.4952,9.99,10.208,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.429,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33193,99.99,9.99,99.99,2452651.3246,9.99,10.3,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.654,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33194,99.99,9.99,99.99,2452651.3877,9.99,10.323,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.692,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33195,99.99,9.99,99.99,2452652.3303,9.99,10.447,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.874,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33196,99.99,9.99,99.99,2452652.385,9.99,10.453,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.882,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33197,99.99,9.99,99.99,2452655.3325,9.99,10.309,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.653,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33198,99.99,9.99,99.99,2452655.4065,9.99,10.288,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.659,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33199,99.99,9.99,99.99,2452656.3301,9.99,10.434,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.844,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33200,99.99,9.99,99.99,2452656.4093,9.99,10.473,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.897,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33201,99.99,9.99,99.99,2452657.3379,9.99,10.56,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.988,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33202,99.99,9.99,99.99,2452657.4337,9.99,10.572,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.988,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33203,99.99,9.99,99.99,2452658.4058,9.99,10.192,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.399,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
33204,99.99,9.99,99.99,2452660.4326,9.99,10.471,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.895,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..395B
