,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
14290,12.53,9.99,99.99,2441922.628,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.91,9.99,10.76,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
14291,12.58,9.99,99.99,2441928.63,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.87,9.99,10.86,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
14292,12.28,9.99,99.99,2441929.616,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.51,9.99,10.64,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
14293,12.837,9.99,99.99,2445155.53,9.99,8.973,9.99,99.99,9.99,9.99,99.99,10.005,9.99,99.99,9.99,11.042,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....4C
14294,99.99,9.99,99.99,2453073.258,9.99,8.504,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.304,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
14295,99.99,9.99,99.99,2453080.2662,9.99,9.055,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.204,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
14296,99.99,9.99,99.99,2453081.255,9.99,8.951,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.062,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
14297,99.99,9.99,99.99,2453082.2385,9.99,8.864,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.855,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
14298,99.99,9.99,99.99,2453104.22,9.99,8.854,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.896,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
14299,99.99,9.99,99.99,2453108.1846,9.99,8.62,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.627,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
14300,99.99,9.99,99.99,2453109.2234,9.99,8.724,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.807,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
14301,99.99,9.99,99.99,2453111.2166,9.99,8.934,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.12,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
14302,99.99,9.99,99.99,2453112.2247,9.99,9.026,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.194,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
14303,99.99,9.99,99.99,2453114.2098,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
14304,99.99,9.99,99.99,2453116.2089,9.99,8.754,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.696,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
14305,99.99,9.99,99.99,2453116.2743,9.99,8.76,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.711,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
14306,99.99,9.99,99.99,2453118.1702,9.99,8.541,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.436,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
14307,12.223,9.99,99.99,2445489.3945,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.587,9.99,99.99,9.99,10.573,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
14308,11.811,9.99,99.99,2445490.3203,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.349,9.99,99.99,9.99,10.28,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
14309,12.673,9.99,99.99,2445493.3828,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.764,9.99,99.99,9.99,10.857,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
14310,13.149,9.99,99.99,2445496.3242,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.056,9.99,99.99,9.99,11.201,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
14311,13.092,9.99,99.99,2445497.3046,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.057,9.99,99.99,9.99,11.186,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
14312,12.875,9.99,99.99,2445498.3437,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.941,9.99,99.99,9.99,11.045,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
14313,11.817,9.99,99.99,2445501.3554,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.366,9.99,99.99,9.99,10.312,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
14314,12.227,9.99,99.99,2445502.3593,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.545,9.99,99.99,9.99,10.556,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
14315,12.442,9.99,99.99,2445503.3437,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.626,9.99,99.99,9.99,10.673,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
14316,12.925,9.99,99.99,2445505.3359,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.891,9.99,99.99,9.99,11.011,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
