,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
20841,11.811,9.99,99.99,2448881.4842,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.666,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
20842,11.944,9.99,99.99,2448882.4778,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.105,9.99,99.99,9.99,10.794,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
20843,12.207,9.99,99.99,2448883.4731,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.198,9.99,99.99,9.99,10.921,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
20844,12.497,9.99,99.99,2448885.476,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.433,9.99,99.99,9.99,11.176,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
20845,11.922,9.99,99.99,2448886.47,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.139,9.99,99.99,9.99,10.795,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
20846,11.732,9.99,99.99,2448888.4792,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.971,9.99,99.99,9.99,10.625,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
20847,12.107,9.99,99.99,2448890.4744,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.147,9.99,99.99,9.99,10.838,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
20848,12.364,9.99,99.99,2448891.4712,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.268,9.99,99.99,9.99,11.008,9.99,99.99,9.99,99.99,9.99,1993PAZh...19..210B
20849,12.456,9.99,99.99,2449806.5507,9.99,9.73,9.99,99.99,9.99,9.99,99.99,10.437,9.99,99.99,9.99,11.152,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20850,11.922,9.99,99.99,2449807.5636,9.99,9.526,9.99,99.99,9.99,9.99,99.99,10.157,9.99,99.99,9.99,10.814,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20851,11.392,9.99,99.99,2449808.5068,9.99,9.28,9.99,99.99,9.99,9.99,99.99,9.872,9.99,99.99,9.99,10.456,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20852,11.694,9.99,99.99,2449809.5006,9.99,9.338,9.99,99.99,9.99,9.99,99.99,9.97,9.99,99.99,9.99,10.59,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20853,11.707,9.99,99.99,2449810.5032,9.99,9.326,9.99,99.99,9.99,9.99,99.99,9.956,9.99,99.99,9.99,10.606,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20854,12.099,9.99,99.99,2449811.5021,9.99,9.462,9.99,99.99,9.99,9.99,99.99,10.152,9.99,99.99,9.99,10.84,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20855,12.264,9.99,99.99,2449812.4938,9.99,9.569,9.99,99.99,9.99,9.99,99.99,10.266,9.99,99.99,9.99,10.997,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20856,12.524,9.99,99.99,2449813.5619,9.99,9.701,9.99,99.99,9.99,9.99,99.99,10.433,9.99,99.99,9.99,11.187,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20857,12.221,9.99,99.99,2449814.5611,9.99,9.636,9.99,99.99,9.99,9.99,99.99,10.316,9.99,99.99,9.99,11.02,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20858,11.55,9.99,99.99,2449815.5078,9.99,9.374,9.99,99.99,9.99,9.99,99.99,9.98,9.99,99.99,9.99,10.575,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20859,11.536,9.99,99.99,2449816.5422,9.99,9.309,9.99,99.99,9.99,9.99,99.99,9.919,9.99,99.99,9.99,10.542,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20860,11.733,9.99,99.99,2449817.5019,9.99,9.362,9.99,99.99,9.99,9.99,99.99,9.991,9.99,99.99,9.99,10.656,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20861,11.894,9.99,99.99,2449818.5166,9.99,9.386,9.99,99.99,9.99,9.99,99.99,10.044,9.99,99.99,9.99,10.73,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20862,12.191,9.99,99.99,2449819.5035,9.99,9.507,9.99,99.99,9.99,9.99,99.99,10.203,9.99,99.99,9.99,10.91,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20863,12.477,9.99,99.99,2449821.5315,9.99,9.716,9.99,99.99,9.99,9.99,99.99,10.434,9.99,99.99,9.99,11.179,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20864,11.881,9.99,99.99,2449822.5132,9.99,9.509,9.99,99.99,9.99,9.99,99.99,10.147,9.99,99.99,9.99,10.785,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20865,11.407,9.99,99.99,2449823.5191,9.99,9.307,9.99,99.99,9.99,9.99,99.99,9.896,9.99,99.99,9.99,10.472,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20866,11.723,9.99,99.99,2449824.4898,9.99,9.374,9.99,99.99,9.99,9.99,99.99,9.999,9.99,99.99,9.99,10.643,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20867,11.739,9.99,99.99,2449825.5113,9.99,9.335,9.99,99.99,9.99,9.99,99.99,9.989,9.99,99.99,9.99,10.635,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
20868,12.085,9.99,99.99,2449826.5532,9.99,9.48,9.99,99.99,9.99,9.99,99.99,10.167,9.99,99.99,9.99,10.875,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..803B
