,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
21500,99.99,9.99,3.93,2445108.883,9.99,99.99,9.99,4.35,9.99,9.99,3.8,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21501,99.99,9.99,4.0,2445110.865,9.99,99.99,9.99,4.44,9.99,9.99,3.87,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21502,99.99,9.99,4.14,2445112.898,9.99,99.99,9.99,4.54,9.99,9.99,4.01,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21503,99.99,9.99,3.9,2445136.95,9.99,99.99,9.99,4.29,9.99,9.99,3.78,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21504,99.99,9.99,4.03,2445146.916,9.99,99.99,9.99,4.49,9.99,9.99,3.91,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21505,99.99,9.99,4.15,2445147.897,9.99,99.99,9.99,4.62,9.99,9.99,4.02,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21506,99.99,9.99,4.05,2445148.892,9.99,99.99,9.99,4.38,9.99,9.99,3.94,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21507,99.99,9.99,3.9,2445158.903,9.99,99.99,9.99,4.28,9.99,9.99,3.78,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21508,99.99,9.99,4.04,2445162.872,9.99,99.99,9.99,4.37,9.99,9.99,3.92,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21509,99.99,9.99,3.94,2445163.918,9.99,99.99,9.99,4.36,9.99,9.99,3.84,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21510,99.99,9.99,3.93,2445164.85,9.99,99.99,9.99,4.31,9.99,9.99,3.81,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21511,99.99,9.99,3.9,2445165.795,9.99,99.99,9.99,4.31,9.99,9.99,3.78,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21512,99.99,9.99,3.95,2445166.794,9.99,99.99,9.99,4.4,9.99,9.99,3.83,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21513,99.99,9.99,4.04,2445167.789,9.99,99.99,9.99,4.5,9.99,9.99,3.9,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21514,99.99,9.99,4.13,2445168.79,9.99,99.99,9.99,4.56,9.99,9.99,4.0,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21515,99.99,9.99,3.93,2445184.853,9.99,99.99,9.99,4.27,9.99,9.99,3.83,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21516,99.99,9.99,3.91,2445185.792,9.99,99.99,9.99,4.31,9.99,9.99,3.82,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21517,99.99,9.99,4.11,2445189.789,9.99,99.99,9.99,4.56,9.99,9.99,3.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21518,99.99,9.99,3.91,2445192.777,9.99,99.99,9.99,4.31,9.99,9.99,3.81,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21519,99.99,9.99,3.89,2445193.781,9.99,99.99,9.99,4.3,9.99,9.99,3.78,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21520,99.99,9.99,4.07,2445198.704,9.99,99.99,9.99,4.42,9.99,9.99,3.96,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
21521,6.933,9.99,99.99,2443428.619,9.99,5.039,9.99,99.99,9.99,9.99,99.99,5.584,9.99,99.99,9.99,6.101,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
21522,6.984,9.99,99.99,2443393.651,9.99,5.052,9.99,99.99,9.99,9.99,99.99,5.589,9.99,99.99,9.99,6.115,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
21523,7.05,9.99,99.99,2443688.8866,9.99,5.069,9.99,99.99,9.99,9.99,99.99,5.621,9.99,99.99,9.99,6.155,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
21524,7.099,9.99,99.99,2443646.9014,9.99,5.086,9.99,99.99,9.99,9.99,99.99,5.638,9.99,99.99,9.99,6.186,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
21525,7.152,9.99,99.99,2443302.9159,9.99,5.098,9.99,99.99,9.99,9.99,99.99,5.649,9.99,99.99,9.99,6.212,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
21526,7.258,9.99,99.99,2444075.8457,9.99,5.13,9.99,99.99,9.99,9.99,99.99,5.702,9.99,99.99,9.99,6.278,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
21527,7.322,9.99,99.99,2443394.6577,9.99,5.151,9.99,99.99,9.99,9.99,99.99,5.723,9.99,99.99,9.99,6.316,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
21528,7.368,9.99,99.99,2444005.8994,9.99,5.167,9.99,99.99,9.99,9.99,99.99,5.746,9.99,99.99,9.99,6.346,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
21529,7.396,9.99,99.99,2443366.8024,9.99,5.167,9.99,99.99,9.99,9.99,99.99,5.753,9.99,99.99,9.99,6.355,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
