,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
22349,8.146,9.99,99.99,2444394.54468,9.99,5.545,9.99,99.99,9.99,9.99,99.99,6.206,9.99,9.099,9.99,6.899,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22350,8.342,9.99,99.99,2444395.51351,9.99,5.683,9.99,99.99,9.99,9.99,99.99,6.354,9.99,9.359,9.99,7.053,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22351,8.344,9.99,99.99,2444395.51953,9.99,5.686,9.99,99.99,9.99,9.99,99.99,6.353,9.99,9.351,9.99,7.052,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22352,8.025,9.99,99.99,2444396.48437,9.99,5.601,9.99,99.99,9.99,9.99,99.99,6.229,9.99,8.794,9.99,6.876,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22353,8.026,9.99,99.99,2444396.49016,9.99,5.599,9.99,99.99,9.99,9.99,99.99,6.229,9.99,8.828,9.99,6.876,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22354,7.266,9.99,99.99,2444397.50441,9.99,5.269,9.99,99.99,9.99,9.99,99.99,5.812,9.99,7.907,9.99,6.355,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22355,7.262,9.99,99.99,2444397.51022,9.99,5.267,9.99,99.99,9.99,9.99,99.99,5.816,9.99,7.9,9.99,6.354,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22356,7.244,9.99,99.99,2444397.60978,9.99,5.254,9.99,99.99,9.99,9.99,99.99,5.802,9.99,7.884,9.99,6.34,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22357,7.247,9.99,99.99,2444397.61507,9.99,5.259,9.99,99.99,9.99,9.99,99.99,5.798,9.99,7.882,9.99,6.337,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22358,7.45,9.99,99.99,2444398.52787,9.99,5.298,9.99,99.99,9.99,9.99,99.99,5.879,9.99,8.152,9.99,6.454,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22359,7.455,9.99,99.99,2444398.53268,9.99,5.305,9.99,99.99,9.99,9.99,99.99,5.885,9.99,8.156,9.99,6.46,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22360,7.72,9.99,99.99,2444399.45237,9.99,5.366,9.99,99.99,9.99,9.99,99.99,5.983,9.99,8.506,9.99,6.613,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22361,7.718,9.99,99.99,2444399.45758,9.99,5.362,9.99,99.99,9.99,9.99,99.99,5.986,9.99,8.51,9.99,6.612,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22362,7.958,9.99,99.99,2444400.4963,9.99,5.447,9.99,99.99,9.99,9.99,99.99,6.099,9.99,8.832,9.99,6.777,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22363,7.967,9.99,99.99,2444400.56238,9.99,5.47,9.99,99.99,9.99,9.99,99.99,6.116,9.99,8.846,9.99,6.772,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22364,7.97,9.99,99.99,2444400.56754,9.99,5.467,9.99,99.99,9.99,9.99,99.99,6.115,9.99,8.848,9.99,6.775,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22365,8.34,9.99,99.99,2444402.53361,9.99,5.688,9.99,99.99,9.99,9.99,99.99,6.359,9.99,9.333,9.99,7.063,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22366,8.343,9.99,99.99,2444402.59849,9.99,5.693,9.99,99.99,9.99,9.99,99.99,6.364,9.99,9.324,9.99,7.068,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
22367,7.822,9.99,99.99,2444403.48093,9.99,5.497,9.99,99.99,9.99,9.99,99.99,6.115,9.99,8.548,9.99,6.744,9.99,99.99,9.99,99.99,9.99,1981ApJS...47..315G
