,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
19001,8.71,9.99,99.99,2442202.531,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.91,9.99,7.26,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19002,7.96,9.99,99.99,2442206.483,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.76,9.99,6.81,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19003,8.52,9.99,99.99,2442229.506,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.46,9.99,7.19,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19004,8.51,9.99,99.99,2442289.42,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.49,9.99,7.15,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19005,8.95,9.99,99.99,2442307.406,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.15,9.99,7.44,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19006,8.93,9.99,99.99,2442308.334,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.09,9.99,7.42,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19007,8.06,9.99,99.99,2442343.244,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.96,9.99,6.85,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19008,8.87,9.99,99.99,2442522.549,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.07,9.99,7.32,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19009,8.94,9.99,99.99,2442523.522,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,7.5,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19010,8.8,9.99,99.99,2442532.552,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.89,9.99,7.36,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19011,8.16,9.99,99.99,2442543.499,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.12,9.99,6.9,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19012,8.28,9.99,99.99,2442589.42,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.17,9.99,7.03,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
