,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
9803,13.32,9.99,99.99,2441761.878,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,14.64,9.99,11.32,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
9804,13.63,9.99,99.99,2441922.619,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,15.15,9.99,11.61,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
9805,13.31,9.99,99.99,2441924.649,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,14.72,9.99,11.43,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
9806,13.07,9.99,99.99,2441925.599,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,14.42,9.99,11.22,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
9807,12.53,9.99,99.99,2441926.588,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.78,9.99,10.85,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
9808,12.5,9.99,99.99,2441927.606,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.77,9.99,10.79,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
9809,12.64,9.99,99.99,2441928.603,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,14.05,9.99,10.88,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
9810,12.86,9.99,99.99,2441929.594,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,14.41,9.99,11.03,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
9811,13.042,9.99,99.99,2445155.499,9.99,9.139,9.99,99.99,9.99,9.99,99.99,10.191,9.99,99.99,9.99,11.237,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....4C
9812,99.99,9.99,99.99,2453073.2445,9.99,9.25,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.405,9.99,99.99,9.99,99.99,9.99,2004A+AT...23..327B
