,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
27619,8.339,9.99,99.99,2449619.2236,9.99,99.99,9.99,99.99,9.99,9.99,99.99,7.133,9.99,8.899,9.99,7.573,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..348B
27620,8.504,9.99,99.99,2449620.2088,9.99,99.99,9.99,99.99,9.99,9.99,99.99,7.248,9.99,9.057,9.99,7.702,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..348B
27621,8.785,9.99,99.99,2449621.1793,9.99,99.99,9.99,99.99,9.99,9.99,99.99,7.347,9.99,9.454,9.99,7.853,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..348B
27622,9.13,9.99,99.99,2449623.1678,9.99,99.99,9.99,99.99,9.99,9.99,99.99,7.56,9.99,9.854,9.99,8.119,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..348B
27623,8.548,9.99,99.99,2449624.1792,9.99,99.99,9.99,99.99,9.99,9.99,99.99,7.291,9.99,9.104,9.99,7.746,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..348B
27624,8.332,9.99,99.99,2449625.1828,9.99,99.99,9.99,99.99,9.99,9.99,99.99,7.141,9.99,8.894,9.99,7.583,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..348B
27625,8.669,9.99,99.99,2449626.2137,9.99,99.99,9.99,99.99,9.99,9.99,99.99,7.263,9.99,99.99,9.99,7.787,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..348B
27626,8.555,9.99,99.99,2449631.1508,9.99,99.99,9.99,99.99,9.99,9.99,99.99,7.234,9.99,99.99,9.99,7.72,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..348B
27627,8.876,9.99,99.99,2449632.1636,9.99,99.99,9.99,99.99,9.99,9.99,99.99,7.385,9.99,99.99,9.99,7.935,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..348B
27628,9.039,9.99,99.99,2449633.1658,9.99,99.99,9.99,99.99,9.99,9.99,99.99,7.48,9.99,99.99,9.99,8.042,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..348B
27629,9.047,9.99,99.99,2449634.1583,9.99,99.99,9.99,99.99,9.99,9.99,99.99,7.539,9.99,99.99,9.99,8.068,9.99,99.99,9.99,99.99,9.99,1995PAZh...21..348B
27630,8.381,9.99,99.99,2446608.3248,9.99,99.99,9.99,99.99,9.99,9.99,99.99,7.173,9.99,8.867,9.99,7.621,9.99,99.99,9.99,99.99,9.99,1992A+AT....2....1B
