,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
35185,99.99,9.99,99.99,2448514.905,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.084,0.003,99.99,9.99,12.844,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35186,99.99,9.99,99.99,2448528.809,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.118,0.003,99.99,9.99,12.898,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35187,99.99,9.99,99.99,2448535.847,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.012,0.003,99.99,9.99,12.791,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35188,99.99,9.99,99.99,2448536.797,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.54,0.003,99.99,9.99,12.184,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35189,99.99,9.99,99.99,2448546.799,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.428,0.002,99.99,9.99,12.025,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35190,99.99,9.99,99.99,2448551.725,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.953,0.003,99.99,9.99,12.704,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35191,99.99,9.99,99.99,2448565.686,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.985,0.004,99.99,9.99,12.763,0.005,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35192,99.99,9.99,99.99,2448573.669,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.539,0.002,99.99,9.99,12.147,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35193,99.99,9.99,99.99,2448574.675,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.695,0.003,99.99,9.99,12.392,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35194,99.99,9.99,99.99,2448580.67,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.355,0.003,99.99,9.99,11.889,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35195,99.99,9.99,99.99,2448581.775,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.827,0.003,99.99,9.99,12.581,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35196,99.99,9.99,99.99,2448643.597,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.872,0.003,99.99,9.99,12.626,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35197,99.99,9.99,99.99,2448654.568,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.005,0.003,99.99,9.99,12.783,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35198,99.99,9.99,99.99,2448677.591,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.849,0.003,99.99,9.99,12.568,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35199,99.99,9.99,99.99,2448677.731,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.86,0.003,99.99,9.99,12.621,0.004,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35200,99.99,9.99,99.99,2448677.799,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.881,0.004,99.99,9.99,12.61,0.005,99.99,9.99,99.99,9.99,1995AJ....109.1239S
35201,13.289,9.99,99.99,2447167.619,9.99,10.904,9.99,99.99,9.99,9.99,99.99,11.614,9.99,99.99,9.99,12.204,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35202,12.919,9.99,99.99,2447167.9227,9.99,10.712,9.99,99.99,9.99,9.99,99.99,11.366,9.99,99.99,9.99,11.913,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35203,13.602,9.99,99.99,2447168.7098,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.375,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35204,13.769,9.99,99.99,2447168.9407,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,12.499,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35205,14.043,9.99,99.99,2447169.6031,9.99,11.172,9.99,99.99,9.99,9.99,99.99,11.961,9.99,99.99,9.99,12.686,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35206,14.11,9.99,99.99,2447169.8507,9.99,11.237,9.99,99.99,9.99,9.99,99.99,12.016,9.99,99.99,9.99,12.722,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35207,13.698,9.99,99.99,2447170.9352,9.99,11.092,9.99,99.99,9.99,9.99,99.99,11.826,9.99,99.99,9.99,12.483,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35208,13.177,9.99,99.99,2447171.6048,9.99,10.827,9.99,99.99,9.99,9.99,99.99,11.49,9.99,99.99,9.99,12.103,9.99,99.99,9.99,99.99,9.99,1996AJ....111..902H
35209,12.884,9.99,99.99,2446287.4816,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.318,9.99,99.99,9.99,11.941,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
35210,13.462,9.99,99.99,2446291.4741,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.61,9.99,99.99,9.99,12.322,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
35211,99.99,9.99,99.99,2446293.4635,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.042,9.99,99.99,9.99,12.862,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
35212,13.057,9.99,99.99,2446294.4575,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.405,9.99,99.99,9.99,12.041,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
35213,13.824,9.99,99.99,2446295.4398,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.792,9.99,99.99,9.99,12.554,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
35214,14.199,9.99,99.99,2446296.4536,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.065,9.99,99.99,9.99,12.852,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
35215,12.947,9.99,99.99,2446297.4582,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.36,9.99,99.99,9.99,11.99,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
35216,13.573,9.99,99.99,2446298.4635,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.664,9.99,99.99,9.99,12.392,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
35217,14.018,9.99,99.99,2446299.4369,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.93,9.99,99.99,9.99,12.719,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
35218,14.142,9.99,99.99,2446300.4387,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.031,9.99,99.99,9.99,12.831,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
