,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
32173,99.99,9.99,99.99,2441311.527,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32174,99.99,9.99,99.99,2441679.423,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32175,99.99,9.99,99.99,2441680.433,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32176,99.99,9.99,99.99,2441681.423,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32177,99.99,9.99,99.99,2441682.436,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32178,99.99,9.99,99.99,2441764.311,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32179,99.99,9.99,99.99,2441765.308,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32180,99.99,9.99,99.99,2441980.598,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32181,99.99,9.99,99.99,2441981.57,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32182,99.99,9.99,99.99,2441982.567,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32183,99.99,9.99,99.99,2441989.633,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32184,99.99,9.99,99.99,2441990.643,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32185,99.99,9.99,99.99,2442066.341,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32186,99.99,9.99,99.99,2442066.514,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32187,99.99,9.99,99.99,2442070.378,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32188,99.99,9.99,99.99,2442089.366,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32189,99.99,9.99,99.99,2442148.302,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
32190,11.653,9.99,99.99,2443519.8484,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.308,9.99,10.646,9.99,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
32191,11.096,0.017,99.99,2443546.7641,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.583,0.034,10.28,0.013,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
32192,11.064,0.028,99.99,2443550.777,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.546,0.035,10.277,0.027,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
32193,11.765,0.089,99.99,2443569.6271,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.368,0.092,10.729,0.087,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
32194,11.666,0.089,99.99,2443569.716,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.207,0.092,10.661,0.087,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
32195,11.378,0.029,99.99,2443572.6212,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.938,0.036,10.475,0.022,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
32196,11.421,0.029,99.99,2443572.6719,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.98,0.036,10.494,0.022,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
32197,11.047,0.086,99.99,2443596.5962,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.485,0.088,10.21,0.081,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
32198,11.581,0.253,99.99,2443599.6369,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.066,0.261,10.661,0.252,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
32199,11.682,0.046,99.99,2443809.7799,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.269,0.05,10.697,0.045,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
32200,11.67,0.046,99.99,2443809.874,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.267,0.05,10.693,0.045,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
32201,11.192,0.017,99.99,2443811.78,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.69,0.028,10.33,0.015,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
32202,11.224,0.017,99.99,2443811.8852,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.749,0.028,10.375,0.015,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
32203,11.49,0.026,99.99,2443841.7419,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.084,0.048,10.55,0.022,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
