,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
28623,99.99,9.99,99.99,2447716.758,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.485,0.002,99.99,9.99,11.622,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
28624,99.99,9.99,99.99,2447718.746,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.365,0.002,99.99,9.99,11.428,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
28625,99.99,9.99,99.99,2447720.8,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.32,0.002,99.99,9.99,11.41,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
28626,99.99,9.99,99.99,2447774.883,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.316,0.001,99.99,9.99,11.37,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
28627,99.99,9.99,99.99,2447825.736,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.44,0.002,99.99,9.99,11.522,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
28628,99.99,9.99,99.99,2447837.657,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.21,0.003,99.99,9.99,11.268,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
28629,99.99,9.99,99.99,2447842.642,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.186,0.001,99.99,9.99,11.267,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
28630,99.99,9.99,99.99,2447844.619,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.531,0.002,99.99,9.99,11.69,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
28631,99.99,9.99,99.99,2447896.538,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.639,0.002,99.99,9.99,11.805,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
28632,99.99,9.99,99.99,2448060.699,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.067,0.002,99.99,9.99,11.084,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
28633,99.99,9.99,99.99,2448157.765,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.033,0.002,99.99,9.99,11.033,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
28634,99.99,9.99,99.99,2448545.644,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.039,0.002,99.99,9.99,11.056,0.002,99.99,9.99,99.99,9.99,1995AJ....109.1239S
28635,99.99,9.99,99.99,2448594.535,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.608,0.002,99.99,9.99,11.767,0.003,99.99,9.99,99.99,9.99,1995AJ....109.1239S
28636,13.084,9.99,99.99,2446252.2777,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.294,9.99,14.476,9.99,11.393,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28637,13.395,9.99,99.99,2446253.2513,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.469,9.99,99.99,9.99,11.601,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28638,13.015,9.99,99.99,2446255.3527,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.338,9.99,99.99,9.99,11.382,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28639,12.608,9.99,99.99,2446256.2967,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.068,9.99,99.99,9.99,11.07,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28640,13.074,9.99,99.99,2446257.3145,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.288,9.99,99.99,9.99,11.368,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28641,13.382,9.99,99.99,2446258.262,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.457,9.99,99.99,9.99,11.587,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28642,13.589,9.99,99.99,2446259.2585,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.611,9.99,99.99,9.99,11.758,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28643,13.338,9.99,99.99,2446260.2332,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.528,9.99,14.847,9.99,11.618,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28644,12.536,9.99,99.99,2446261.2524,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.034,9.99,99.99,9.99,11.031,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
28645,13.332,9.99,99.99,2446263.2368,9.99,99.99,9.99,99.99,9.99,9.99,99.99,10.44,9.99,14.788,9.99,11.566,9.99,99.99,9.99,99.99,9.99,1987PZ.....22..530B
