,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
25259,12.26,9.99,99.99,2442424.268,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.98,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25260,12.38,9.99,99.99,2442710.489,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.08,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25261,12.45,9.99,99.99,2442711.536,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.12,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25262,12.17,9.99,99.99,2442715.569,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.84,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25263,11.4,9.99,99.99,2442743.449,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.39,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25264,11.43,9.99,99.99,2442775.295,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.37,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25265,11.86,9.99,99.99,2442776.387,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.64,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25266,12.05,9.99,99.99,2442777.337,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.79,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25267,11.22,9.99,99.99,2442787.25,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.28,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25268,12.37,9.99,99.99,2442816.299,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.98,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25269,11.78,9.99,99.99,2443078.365,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.66,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25270,11.99,9.99,99.99,2443124.449,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.72,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25271,12.14,9.99,99.99,2443140.197,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.91,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25272,12.45,9.99,99.99,2443375.538,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.18,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25273,11.74,9.99,99.99,2443390.456,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.62,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25274,12.5,9.99,99.99,2443437.367,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.17,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25275,11.59,9.99,99.99,2443483.265,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.45,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
25276,99.99,9.99,99.99,2449937.4634,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.668,9.99,99.99,9.99,10.259,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
25277,99.99,9.99,99.99,2449947.4613,9.99,9.58,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.097,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
25278,99.99,9.99,99.99,2449948.437,9.99,9.718,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.264,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
25279,99.99,9.99,99.99,2449955.4465,9.99,9.507,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.872,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
25280,99.99,9.99,99.99,2449959.4638,9.99,9.563,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.063,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
25281,99.99,9.99,99.99,2449960.4534,9.99,9.714,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.238,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
25282,99.99,9.99,99.99,2449962.4613,9.99,9.152,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.326,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
25283,99.99,9.99,99.99,2449985.4155,9.99,9.723,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.217,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
25284,99.99,9.99,99.99,2449986.3907,9.99,9.584,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.981,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
25285,99.99,9.99,99.99,2449987.4259,9.99,9.2,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.347,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
25286,99.99,9.99,99.99,2449992.4483,9.99,9.676,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.117,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
25287,99.99,9.99,99.99,2450007.4013,9.99,9.323,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.656,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
25288,99.99,9.99,99.99,2450008.4348,9.99,9.426,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.845,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
25289,99.99,9.99,99.99,2450009.3853,9.99,9.604,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.08,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
25290,12.689,9.99,99.99,2450010.3446,9.99,9.696,9.99,99.99,9.99,9.99,99.99,10.482,9.99,99.99,9.99,11.195,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
25291,99.99,9.99,99.99,2450011.3553,9.99,9.472,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.818,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
25292,99.99,9.99,99.99,2450017.3462,9.99,9.642,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,11.04,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
