,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
5516,12.35,9.99,99.99,2443693.47,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.41,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5517,11.01,9.99,99.99,2443703.534,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.58,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5518,11.32,9.99,99.99,2443705.521,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.73,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5519,12.44,9.99,99.99,2443714.468,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.47,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5520,12.1,9.99,99.99,2443720.38,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.31,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5521,11.17,9.99,99.99,2443722.482,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.68,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5522,11.13,9.99,99.99,2443724.484,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.61,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5523,12.02,9.99,99.99,2443761.398,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.25,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5524,11.24,9.99,99.99,2443765.38,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.69,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5525,12.12,9.99,99.99,2443772.318,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.16,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5526,12.56,9.99,99.99,2443777.289,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.54,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5527,11.64,9.99,99.99,2443788.487,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.9,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5528,11.81,9.99,99.99,2443789.358,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.95,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5529,12.01,9.99,99.99,2443791.336,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.09,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5530,12.08,9.99,99.99,2443800.261,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.33,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5531,11.07,9.99,99.99,2443803.344,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.61,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5532,11.87,9.99,99.99,2443830.311,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.99,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5533,11.52,9.99,99.99,2444049.43,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.84,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5534,12.51,9.99,99.99,2444100.414,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.55,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5535,12.21,9.99,99.99,2444101.465,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.36,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5536,12.23,9.99,99.99,2444155.269,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.27,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5537,12.11,9.99,99.99,2444203.229,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.3,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
5538,12.522,9.99,99.99,2445488.2655,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.437,9.99,14.015,9.99,10.522,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
5539,11.281,9.99,99.99,2445497.2343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,8.794,9.99,12.449,9.99,9.711,9.99,99.99,9.99,99.99,9.99,1986PZ.....22..369B
