,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
14500,11.05,9.99,99.99,2443438.488,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.96,9.99,9.61,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14501,10.61,9.99,99.99,2443483.371,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.44,9.99,9.38,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14502,10.62,9.99,99.99,2443489.378,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.65,9.99,9.31,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14503,10.83,9.99,99.99,2443490.405,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.87,9.99,9.45,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14504,10.37,9.99,99.99,2443560.303,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.21,9.99,9.2,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14505,10.23,9.99,99.99,2443572.275,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.08,9.99,9.08,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14506,10.11,9.99,99.99,2443737.505,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.94,9.99,8.99,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14507,10.48,9.99,99.99,2443739.413,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.45,9.99,9.29,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14508,10.17,9.99,99.99,2443789.549,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.93,9.99,9.08,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14509,11.08,9.99,99.99,2443873.343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.11,9.99,9.69,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
