,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
19876,10.44,9.99,99.99,2442307.424,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.32,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19877,11.42,9.99,99.99,2442634.498,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.96,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19878,10.57,9.99,99.99,2442685.411,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.46,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19879,11.32,9.99,99.99,2442712.318,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.89,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19880,10.85,9.99,99.99,2442714.318,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.56,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19881,10.29,9.99,99.99,2442715.291,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.2,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19882,11.17,9.99,99.99,2442743.262,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.77,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19883,11.36,9.99,99.99,2443050.509,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.92,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19884,10.59,9.99,99.99,2443275.507,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.43,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19885,11.23,9.99,99.99,2443287.466,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.8,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19886,10.98,9.99,99.99,2443363.442,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.62,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19887,10.31,9.99,99.99,2443375.549,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.25,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19888,10.74,9.99,99.99,2443382.436,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.58,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19889,10.67,9.99,99.99,2443425.28,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.43,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19890,10.43,9.99,99.99,2443524.198,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.36,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19891,11.02,9.99,99.99,2443716.5,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.74,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19892,10.95,9.99,99.99,2443724.471,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.63,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19893,10.54,9.99,99.99,2443761.326,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.46,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19894,10.21,9.99,99.99,2444459.9117,9.99,7.866,9.99,99.99,9.99,9.99,99.99,8.55,9.99,99.99,9.99,9.216,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
19895,10.352,9.99,99.99,2444216.6138,9.99,7.898,9.99,99.99,9.99,9.99,99.99,8.582,9.99,99.99,9.99,9.269,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
19896,10.423,9.99,99.99,2444554.6871,9.99,7.927,9.99,99.99,9.99,9.99,99.99,8.611,9.99,99.99,9.99,9.3,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
19897,10.443,9.99,99.99,2444106.8748,9.99,7.936,9.99,99.99,9.99,9.99,99.99,8.648,9.99,99.99,9.99,9.349,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
19898,10.485,9.99,99.99,2444436.9317,9.99,7.942,9.99,99.99,9.99,9.99,99.99,8.64,9.99,99.99,9.99,9.349,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
19899,10.554,9.99,99.99,2444908.6437,9.99,7.964,9.99,99.99,9.99,9.99,99.99,8.682,9.99,99.99,9.99,9.394,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
19900,10.56,9.99,99.99,2444075.9557,9.99,7.956,9.99,99.99,9.99,9.99,99.99,8.682,9.99,99.99,9.99,9.406,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
19901,10.555,9.99,99.99,2444099.8383,9.99,7.952,9.99,99.99,9.99,9.99,99.99,8.664,9.99,99.99,9.99,9.392,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
19902,10.532,9.99,99.99,2444940.5973,9.99,7.953,9.99,99.99,9.99,9.99,99.99,8.671,9.99,99.99,9.99,9.388,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
19903,10.561,9.99,99.99,2444107.9187,9.99,7.954,9.99,99.99,9.99,9.99,99.99,8.687,9.99,99.99,9.99,9.411,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
19904,10.743,9.99,99.99,2444100.89,9.99,7.992,9.99,99.99,9.99,9.99,99.99,8.753,9.99,99.99,9.99,9.501,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
19905,10.751,9.99,99.99,2444823.8041,9.99,8.017,9.99,99.99,9.99,9.99,99.99,8.764,9.99,99.99,9.99,9.514,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
