,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
30142,99.99,9.99,99.99,2441472.515,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30143,99.99,9.99,99.99,2441589.443,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30144,99.99,9.99,99.99,2441594.448,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30145,99.99,9.99,99.99,2441596.37,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30146,99.99,9.99,99.99,2441597.381,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30147,99.99,9.99,99.99,2441629.236,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30148,99.99,9.99,99.99,2441651.204,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30149,99.99,9.99,99.99,2441860.466,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30150,99.99,9.99,99.99,2441887.452,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30151,99.99,9.99,99.99,2441896.55,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30152,99.99,9.99,99.99,2441897.344,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30153,99.99,9.99,99.99,2441898.354,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30154,99.99,9.99,99.99,2441900.446,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30155,99.99,9.99,99.99,2441904.49,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30156,99.99,9.99,99.99,2441914.398,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30157,99.99,9.99,99.99,2441914.566,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30158,99.99,9.99,99.99,2441929.338,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30159,99.99,9.99,99.99,2441942.43,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30160,99.99,9.99,99.99,2442939.47,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30161,99.99,9.99,99.99,2443045.466,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30162,99.99,9.99,99.99,2443048.49,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30163,99.99,9.99,99.99,2443064.324,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30164,99.99,9.99,99.99,2443075.394,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30165,99.99,9.99,99.99,2443078.28,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30166,99.99,9.99,99.99,2443140.209,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
30167,99.99,9.99,6.8,2445164.891,9.99,99.99,9.99,7.1,9.99,9.99,6.69,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
30168,99.99,9.99,6.77,2445165.87,9.99,99.99,9.99,7.13,9.99,9.99,6.68,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
30169,99.99,9.99,6.85,2445166.873,9.99,99.99,9.99,7.25,9.99,9.99,6.74,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
30170,99.99,9.99,6.97,2445167.87,9.99,99.99,9.99,7.39,9.99,9.99,6.85,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
30171,99.99,9.99,6.86,2445168.873,9.99,99.99,9.99,7.16,9.99,9.99,6.77,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
30172,99.99,9.99,6.79,2445184.898,9.99,99.99,9.99,0.0,9.99,9.99,6.7,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
30173,99.99,9.99,6.8,2445185.874,9.99,99.99,9.99,7.15,9.99,9.99,6.73,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
30174,99.99,9.99,6.95,2445186.928,9.99,99.99,9.99,0.0,9.99,9.99,6.79,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
30175,99.99,9.99,6.78,2445189.869,9.99,99.99,9.99,7.07,9.99,9.99,6.68,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
30176,99.99,9.99,6.99,2445192.869,9.99,99.99,9.99,7.26,9.99,9.99,6.86,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
30177,99.99,9.99,6.81,2445193.867,9.99,99.99,9.99,7.05,9.99,9.99,6.7,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
30178,99.99,9.99,6.84,2445195.801,9.99,99.99,9.99,7.28,9.99,9.99,6.71,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
30179,99.99,9.99,6.93,2445197.818,9.99,99.99,9.99,7.17,9.99,9.99,6.82,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
30180,99.99,9.99,6.79,2445224.804,9.99,99.99,9.99,7.26,9.99,9.99,6.71,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
30181,99.99,9.99,6.82,2445232.725,9.99,99.99,9.99,7.06,9.99,9.99,0.0,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
30182,9.295,9.99,99.99,2444463.9186,9.99,7.711,9.99,99.99,9.99,9.99,99.99,8.165,9.99,99.99,9.99,8.606,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30183,9.331,9.99,99.99,2444940.6549,9.99,7.729,9.99,99.99,9.99,9.99,99.99,8.183,9.99,99.99,9.99,8.63,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
30184,9.355,9.99,99.99,2444945.6376,9.99,7.717,9.99,99.99,9.99,9.99,99.99,8.185,9.99,99.99,9.99,8.632,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
