,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
19482,8.49,9.99,99.99,2442404.497,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.41,9.99,7.34,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19483,8.17,9.99,99.99,2442429.452,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.82,9.99,7.15,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19484,7.61,9.99,99.99,2442432.425,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.24,9.99,6.72,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19485,8.37,9.99,99.99,2442443.448,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.32,9.99,7.22,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19486,8.16,9.99,99.99,2442450.377,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.97,9.99,7.1,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19487,7.29,9.99,99.99,2442454.428,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,7.81,9.99,6.54,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19488,7.57,9.99,99.99,2442455.403,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.16,9.99,6.74,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19489,8.47,9.99,99.99,2442460.35,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.36,9.99,7.34,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19490,8.0,9.99,99.99,2442473.319,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.72,9.99,7.0,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19491,7.65,9.99,99.99,2442756.505,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.32,9.99,6.81,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19492,8.31,9.99,99.99,2442767.475,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.11,9.99,7.17,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19493,7.42,9.99,99.99,2442794.405,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,7.95,9.99,6.73,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19494,7.87,9.99,99.99,2442841.338,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.46,9.99,6.94,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19495,8.11,9.99,99.99,2443138.502,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.9,9.99,7.06,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19496,7.62,9.99,99.99,2443224.27,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,8.25,9.99,6.74,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19497,7.33,9.99,99.99,2443483.548,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,7.92,9.99,6.59,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
19498,8.35,9.99,99.99,2443489.497,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.2,9.99,7.27,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
