,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
30909,99.99,9.99,99.99,2448654.609,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.176,0.006,99.99,9.99,12.886,0.008,99.99,9.99,99.99,9.99,1996AJ....112.2769S
30910,99.99,9.99,99.99,2448654.795,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.007,0.005,99.99,9.99,12.745,0.005,99.99,9.99,99.99,9.99,1996AJ....112.2769S
30911,99.99,9.99,99.99,2448674.763,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.549,0.005,99.99,9.99,12.231,0.006,99.99,9.99,99.99,9.99,1996AJ....112.2769S
30912,99.99,9.99,99.99,2448682.672,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.115,0.005,99.99,9.99,12.853,0.006,99.99,9.99,99.99,9.99,1996AJ....112.2769S
30913,99.99,9.99,99.99,2448682.744,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.03,0.006,99.99,9.99,12.792,0.007,99.99,9.99,99.99,9.99,1996AJ....112.2769S
30914,99.99,9.99,99.99,2448691.678,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.157,0.006,99.99,9.99,12.976,0.008,99.99,9.99,99.99,9.99,1996AJ....112.2769S
30915,99.99,9.99,99.99,2448692.627,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.423,0.004,99.99,9.99,11.996,0.004,99.99,9.99,99.99,9.99,1996AJ....112.2769S
30916,99.99,9.99,99.99,2448692.678,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.441,0.004,99.99,9.99,12.031,0.004,99.99,9.99,99.99,9.99,1996AJ....112.2769S
30917,99.99,9.99,99.99,2448696.622,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.13,0.005,99.99,9.99,12.874,0.006,99.99,9.99,99.99,9.99,1996AJ....112.2769S
30918,99.99,9.99,99.99,2448698.686,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.743,0.004,99.99,9.99,12.449,0.006,99.99,9.99,99.99,9.99,1996AJ....112.2769S
30919,99.99,9.99,99.99,2448704.693,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.995,0.006,99.99,9.99,12.744,0.008,99.99,9.99,99.99,9.99,1996AJ....112.2769S
30920,99.99,9.99,99.99,2448705.652,9.99,99.99,9.99,99.99,9.99,9.99,99.99,12.189,0.006,99.99,9.99,12.966,0.007,99.99,9.99,99.99,9.99,1996AJ....112.2769S
30921,99.99,9.99,99.99,2448713.664,9.99,99.99,9.99,99.99,9.99,9.99,99.99,11.923,0.004,99.99,9.99,12.748,0.006,99.99,9.99,99.99,9.99,1996AJ....112.2769S
