,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
5112,9.41,9.99,99.99,2441761.844,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.81,9.99,7.87,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
5113,10.18,9.99,99.99,2441767.901,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.77,9.99,8.45,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
5114,10.14,9.99,99.99,2441771.873,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.7,9.99,8.47,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
5115,10.19,9.99,99.99,2441921.634,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.87,9.99,8.45,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
5116,10.24,9.99,99.99,2441922.589,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.91,9.99,8.51,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
5117,10.21,9.99,99.99,2441924.58,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.74,9.99,8.55,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
5118,10.01,9.99,99.99,2441925.572,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.39,9.99,8.4,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
5119,9.84,9.99,99.99,2441926.567,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.04,9.99,8.32,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
5120,9.84,9.99,99.99,2441927.559,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.04,9.99,8.34,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
5121,9.32,9.99,99.99,2441928.574,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.31,9.99,8.0,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
5122,8.62,9.99,99.99,2441929.559,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.42,9.99,7.51,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
5123,99.99,9.99,4.62,2445190.624,9.99,99.99,9.99,5.15,9.99,9.99,4.43,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
5124,9.198,9.99,99.99,2444032.609,9.99,6.32,9.99,99.99,9.99,9.99,99.99,7.024,9.99,99.99,9.99,7.789,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5125,10.127,9.99,99.99,2444044.613,9.99,6.857,9.99,99.99,9.99,9.99,99.99,7.622,9.99,99.99,9.99,8.481,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5126,8.981,9.99,99.99,2444048.574,9.99,6.432,9.99,99.99,9.99,9.99,99.99,7.083,9.99,99.99,9.99,7.782,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5127,9.9,9.99,99.99,2444387.618,9.99,6.593,9.99,99.99,9.99,9.99,99.99,7.381,9.99,99.99,9.99,8.239,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5128,10.125,9.99,99.99,2444389.577,9.99,6.751,9.99,99.99,9.99,9.99,99.99,7.546,9.99,99.99,9.99,8.414,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5129,10.212,9.99,99.99,2444390.51,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.481,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5130,99.99,9.99,99.99,2444394.582,9.99,6.808,9.99,99.99,9.99,9.99,99.99,7.584,9.99,99.99,9.99,8.433,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5131,9.012,9.99,99.99,2444424.538,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,7.693,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5132,9.157,9.99,99.99,2444425.587,9.99,6.312,9.99,99.99,9.99,9.99,99.99,7.01,9.99,99.99,9.99,7.773,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5133,9.571,9.99,99.99,2444450.459,9.99,6.468,9.99,99.99,9.99,9.99,99.99,7.199,9.99,99.99,9.99,8.022,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5134,8.655,9.99,99.99,2444466.446,9.99,6.215,9.99,99.99,9.99,9.99,99.99,6.853,9.99,99.99,9.99,7.518,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5135,8.999,9.99,99.99,2444468.443,9.99,6.294,9.99,99.99,9.99,9.99,99.99,6.959,9.99,99.99,9.99,7.692,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5136,9.455,9.99,99.99,2444493.41,9.99,6.365,9.99,99.99,9.99,9.99,99.99,7.105,9.99,99.99,9.99,7.925,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5137,9.723,9.99,99.99,2444495.399,9.99,6.518,9.99,99.99,9.99,9.99,99.99,7.274,9.99,99.99,9.99,8.113,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5138,9.978,9.99,99.99,2444497.392,9.99,6.648,9.99,99.99,9.99,9.99,99.99,7.437,9.99,99.99,9.99,8.295,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5139,10.172,9.99,99.99,2444499.375,9.99,6.777,9.99,99.99,9.99,9.99,99.99,7.573,9.99,99.99,9.99,8.447,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5140,10.263,9.99,99.99,2444501.361,9.99,6.864,9.99,99.99,9.99,9.99,99.99,7.667,9.99,12.063,9.99,8.543,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5141,10.237,9.99,99.99,2444522.278,9.99,6.834,9.99,99.99,9.99,9.99,99.99,7.622,9.99,99.99,9.99,8.488,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5142,9.387,9.99,99.99,2444703.583,9.99,6.606,9.99,99.99,9.99,9.99,99.99,7.306,9.99,99.99,9.99,8.059,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5143,8.584,9.99,99.99,2444793.539,9.99,6.194,9.99,99.99,9.99,9.99,99.99,6.819,9.99,9.424,9.99,7.466,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5144,8.918,9.99,99.99,2444795.541,9.99,6.262,9.99,99.99,9.99,9.99,99.99,6.94,9.99,9.933,9.99,7.648,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5145,9.494,9.99,99.99,2444799.504,9.99,6.409,9.99,99.99,9.99,9.99,99.99,7.144,9.99,99.99,9.99,7.956,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5146,9.944,9.99,99.99,2444810.455,9.99,6.784,9.99,99.99,9.99,9.99,99.99,7.53,9.99,99.99,9.99,8.379,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5147,10.098,9.99,99.99,2444831.394,9.99,6.839,9.99,99.99,9.99,9.99,99.99,7.601,9.99,99.99,9.99,8.464,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5148,10.209,9.99,99.99,2444849.37,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.48,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5149,10.254,9.99,99.99,2444850.385,9.99,99.99,9.99,99.99,9.99,9.99,99.99,7.635,9.99,99.99,9.99,8.531,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
5150,10.246,9.99,99.99,2444851.353,9.99,6.848,9.99,99.99,9.99,9.99,99.99,7.633,9.99,99.99,9.99,8.536,9.99,99.99,9.99,99.99,9.99,1985SAAOC...9....5C
