,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
32061,10.491,9.99,99.99,2444422.516,9.99,8.295,9.99,99.99,9.99,9.99,99.99,8.906,9.99,99.99,9.99,9.518,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....4C
32062,11.647,9.99,99.99,2444425.423,9.99,8.758,9.99,99.99,9.99,9.99,99.99,9.523,9.99,99.99,9.99,10.335,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....4C
32063,10.811,9.99,99.99,2444427.406,9.99,8.369,9.99,99.99,9.99,9.99,99.99,9.042,9.99,99.99,9.99,9.728,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....4C
32064,11.34,9.99,99.99,2444428.373,9.99,8.58,9.99,99.99,9.99,9.99,99.99,9.318,9.99,99.99,9.99,10.089,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....4C
32065,99.99,9.99,99.99,2449934.2461,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.306,9.99,99.99,9.99,10.075,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
32066,99.99,9.99,99.99,2449935.2626,9.99,8.445,9.99,99.99,9.99,9.99,99.99,9.122,9.99,99.99,9.99,9.802,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
32067,99.99,9.99,99.99,2449936.2111,9.99,8.652,9.99,99.99,9.99,9.99,99.99,9.378,9.99,99.99,9.99,10.175,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
32068,99.99,9.99,99.99,2449939.2486,9.99,8.361,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.708,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
32069,99.99,9.99,99.99,2449942.2242,9.99,8.825,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.413,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
32070,99.99,9.99,99.99,2449943.2111,9.99,8.318,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.594,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
32071,99.99,9.99,99.99,2449944.2066,9.99,8.613,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.072,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
32072,99.99,9.99,99.99,2449945.2048,9.99,8.752,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.376,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
32073,99.99,9.99,99.99,2449946.1964,9.99,8.823,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.424,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
32074,99.99,9.99,99.99,2449947.2116,9.99,8.359,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.59,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
32075,99.99,9.99,99.99,2449948.2105,9.99,8.487,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.948,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
32076,99.99,9.99,99.99,2449949.2151,9.99,8.699,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.285,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
32077,99.99,9.99,99.99,2449950.2106,9.99,8.834,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.423,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
32078,99.99,9.99,99.99,2449952.2033,9.99,8.473,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.877,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
32079,99.99,9.99,99.99,2449953.2271,9.99,8.697,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.254,9.99,99.99,9.99,99.99,9.99,1997A+AT...14..237B
