,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
24427,10.79,9.99,99.99,2442202.473,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.9,9.99,9.18,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24428,10.29,9.99,99.99,2442206.441,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.36,9.99,8.81,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24429,10.77,9.99,99.99,2442266.369,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.9,9.99,9.16,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24430,10.41,9.99,99.99,2442289.444,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.65,9.99,8.88,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24431,10.22,9.99,99.99,2442471.633,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.3,9.99,8.8,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24432,10.16,9.99,99.99,2442532.534,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.23,9.99,8.78,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24433,10.58,9.99,99.99,2442563.548,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.77,9.99,9.17,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24434,10.09,9.99,99.99,2442591.402,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.24,9.99,8.7,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24435,9.92,9.99,99.99,2442622.533,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.91,9.99,8.55,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24436,10.66,9.99,99.99,2442639.343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.82,9.99,9.16,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24437,9.75,9.99,99.99,2442640.4,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.76,9.99,8.47,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24438,10.04,9.99,99.99,2442646.433,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.98,9.99,8.71,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24439,9.82,9.99,99.99,2442666.31,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.87,9.99,8.49,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24440,10.71,9.99,99.99,2442669.356,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.93,9.99,9.08,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24441,10.04,9.99,99.99,2442673.346,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.16,9.99,8.65,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24442,10.57,9.99,99.99,2442675.326,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.62,9.99,9.02,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24443,10.35,9.99,99.99,2442949.389,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.91,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24444,10.72,9.99,99.99,2442960.45,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.07,9.99,9.12,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24445,10.33,9.99,99.99,2442990.386,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.33,9.99,8.83,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24446,10.43,9.99,99.99,2443363.474,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.67,9.99,8.9,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24447,9.78,9.99,99.99,2443386.372,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.8,9.99,8.52,9.99,99.99,9.99,99.99,9.99,1980CoKon..76.....S
24448,9.675,9.99,99.99,2444460.7464,9.99,6.955,9.99,99.99,9.99,9.99,99.99,7.701,9.99,99.99,9.99,8.466,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24449,9.704,9.99,99.99,2444909.6191,9.99,6.973,9.99,99.99,9.99,9.99,99.99,7.712,9.99,99.99,9.99,8.484,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24450,9.724,9.99,99.99,2444909.6748,9.99,6.964,9.99,99.99,9.99,9.99,99.99,7.717,9.99,99.99,9.99,8.505,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24451,9.757,9.99,99.99,2444100.8478,9.99,6.98,9.99,99.99,9.99,9.99,99.99,7.732,9.99,99.99,9.99,8.531,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24452,9.832,9.99,99.99,2444941.5742,9.99,7.001,9.99,99.99,9.99,9.99,99.99,7.767,9.99,99.99,9.99,8.575,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24453,9.992,9.99,99.99,2444107.8349,9.99,7.04,9.99,99.99,9.99,9.99,99.99,7.828,9.99,99.99,9.99,8.654,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24454,10.026,9.99,99.99,2444461.8777,9.99,7.048,9.99,99.99,9.99,9.99,99.99,7.836,9.99,99.99,9.99,8.675,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24455,10.053,9.99,99.99,2444139.6811,9.99,7.052,9.99,99.99,9.99,9.99,99.99,7.846,9.99,99.99,9.99,8.701,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24456,10.135,9.99,99.99,2444436.8597,9.99,7.09,9.99,99.99,9.99,9.99,99.99,7.891,9.99,99.99,9.99,8.746,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24457,10.229,9.99,99.99,2444076.9358,9.99,7.125,9.99,99.99,9.99,9.99,99.99,7.925,9.99,99.99,9.99,8.806,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24458,10.244,9.99,99.99,2444430.8731,9.99,7.124,9.99,99.99,9.99,9.99,99.99,7.932,9.99,99.99,9.99,8.806,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24459,10.252,9.99,99.99,2444822.8223,9.99,7.135,9.99,99.99,9.99,9.99,99.99,7.95,9.99,99.99,9.99,8.828,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24460,10.325,9.99,99.99,2444216.5712,9.99,7.161,9.99,99.99,9.99,9.99,99.99,7.975,9.99,99.99,9.99,8.873,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24461,10.463,9.99,99.99,2444823.7669,9.99,7.23,9.99,99.99,9.99,9.99,99.99,8.066,9.99,99.99,9.99,8.967,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24462,10.554,9.99,99.99,2444071.9674,9.99,7.265,9.99,99.99,9.99,9.99,99.99,8.108,9.99,99.99,9.99,9.026,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24463,10.62,9.99,99.99,2444912.5999,9.99,7.296,9.99,99.99,9.99,9.99,99.99,8.138,9.99,99.99,9.99,9.068,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24464,10.72,9.99,99.99,2444078.9255,9.99,7.353,9.99,99.99,9.99,9.99,99.99,8.188,9.99,99.99,9.99,9.134,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24465,10.774,9.99,99.99,2444072.914,9.99,7.398,9.99,99.99,9.99,9.99,99.99,8.225,9.99,99.99,9.99,9.184,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24466,10.825,9.99,99.99,2444483.8761,9.99,7.414,9.99,99.99,9.99,9.99,99.99,8.249,9.99,99.99,9.99,9.215,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24467,10.822,9.99,99.99,2444401.8574,9.99,7.421,9.99,99.99,9.99,9.99,99.99,8.262,9.99,99.99,9.99,9.222,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24468,10.807,9.99,99.99,2444458.9026,9.99,7.425,9.99,99.99,9.99,9.99,99.99,8.274,9.99,99.99,9.99,9.226,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24469,10.814,9.99,99.99,2444945.5943,9.99,7.42,9.99,99.99,9.99,9.99,99.99,8.268,9.99,99.99,9.99,9.224,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24470,10.749,9.99,99.99,2444490.8085,9.99,7.417,9.99,99.99,9.99,9.99,99.99,8.259,9.99,99.99,9.99,9.21,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24471,10.609,9.99,99.99,2444484.7577,9.99,7.361,9.99,99.99,9.99,9.99,99.99,8.189,9.99,99.99,9.99,9.111,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
24472,10.498,9.99,99.99,2444914.6095,9.99,7.337,9.99,99.99,9.99,9.99,99.99,8.151,9.99,99.99,9.99,9.047,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
