,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
31055,99.99,9.99,99.99,2441589.548,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31056,99.99,9.99,99.99,2441596.448,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31057,99.99,9.99,99.99,2441597.473,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31058,99.99,9.99,99.99,2441625.386,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31059,99.99,9.99,99.99,2441647.344,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31060,99.99,9.99,99.99,2441650.363,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31061,99.99,9.99,99.99,2441651.351,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31062,99.99,9.99,99.99,2441688.223,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31063,99.99,9.99,99.99,2441689.242,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31064,99.99,9.99,99.99,2441898.53,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31065,99.99,9.99,99.99,2441918.519,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31066,99.99,9.99,99.99,2441948.292,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31067,99.99,9.99,99.99,2442095.247,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31068,99.99,9.99,99.99,2442275.542,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31069,99.99,9.99,99.99,2442276.351,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31070,99.99,9.99,99.99,2442276.492,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31071,99.99,9.99,99.99,2442424.343,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31072,11.143,9.99,99.99,2448101.4564,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.343,9.99,99.99,9.99,10.004,9.99,99.99,9.99,99.99,9.99,1992A&AT....2..157B
31073,11.087,9.99,99.99,2448103.3697,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.252,9.99,99.99,9.99,9.926,9.99,99.99,9.99,99.99,9.99,1992A&AT....2..157B
31074,11.336,9.99,99.99,2448104.3967,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.398,9.99,99.99,9.99,10.089,9.99,99.99,9.99,99.99,9.99,1992A&AT....2..157B
31075,11.363,9.99,99.99,2448104.4244,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.402,9.99,99.99,9.99,10.106,9.99,99.99,9.99,99.99,9.99,1992A&AT....2..157B
31076,11.265,9.99,99.99,2448108.4056,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.326,9.99,99.99,9.99,10.036,9.99,99.99,9.99,99.99,9.99,1992A&AT....2..157B
31077,11.449,9.99,99.99,2448109.3735,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.468,9.99,99.99,9.99,10.192,9.99,99.99,9.99,99.99,9.99,1992A&AT....2..157B
31078,11.234,9.99,99.99,2448110.3774,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.394,9.99,99.99,9.99,10.074,9.99,99.99,9.99,99.99,9.99,1992A&AT....2..157B
31079,10.705,9.99,99.99,2448111.3872,9.99,99.99,9.99,99.99,9.99,9.99,99.99,9.099,9.99,99.99,9.99,9.708,9.99,99.99,9.99,99.99,9.99,1992A&AT....2..157B
