,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
31450,99.99,9.99,99.99,2441466.514,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31451,99.99,9.99,99.99,2441589.49,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31452,99.99,9.99,99.99,2441594.41,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31453,99.99,9.99,99.99,2441596.388,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31454,99.99,9.99,99.99,2441597.394,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31455,99.99,9.99,99.99,2441604.414,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31456,99.99,9.99,99.99,2441606.435,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31457,99.99,9.99,99.99,2441629.285,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31458,99.99,9.99,99.99,2441651.219,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31459,99.99,9.99,99.99,2441860.501,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31460,99.99,9.99,99.99,2441882.443,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31461,99.99,9.99,99.99,2441902.402,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31462,99.99,9.99,99.99,2441903.491,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31463,99.99,9.99,99.99,2441905.558,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31464,99.99,9.99,99.99,2441906.456,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31465,99.99,9.99,99.99,2441907.375,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31466,99.99,9.99,99.99,2441930.434,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31467,99.99,9.99,99.99,2441931.332,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31468,99.99,9.99,99.99,2441932.473,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31469,99.99,9.99,99.99,2441980.39,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31470,99.99,9.99,99.99,2442027.224,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1977MSuAW..70.....S
31471,9.599,0.024,99.99,2443610.8859,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.011,0.03,8.923,0.014,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
31472,10.309,0.027,99.99,2443630.8661,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.823,0.029,9.443,0.016,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
31473,9.328,0.039,99.99,2443631.8364,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.732,0.042,8.774,0.027,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
31474,9.906,0.079,99.99,2443654.7953,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.43,0.086,9.177,0.073,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
31475,9.908,0.079,99.99,2443654.8428,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.403,0.086,9.119,0.073,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
31476,9.882,0.053,99.99,2443663.728,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.463,0.056,9.156,0.049,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
31477,10.051,0.053,99.99,2443663.8135,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.595,0.056,9.256,0.049,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
31478,10.328,0.015,99.99,2443669.7395,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.836,0.017,9.455,0.011,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
31479,10.322,0.015,99.99,2443669.8166,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.823,0.017,9.47,0.011,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
31480,9.333,0.031,99.99,2443670.7235,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.75,0.034,8.766,0.019,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
31481,9.345,0.031,99.99,2443670.8096,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.764,0.034,8.766,0.019,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
31482,10.357,0.019,99.99,2443673.7605,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.875,0.024,9.454,0.015,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
31483,10.366,0.019,99.99,2443673.839,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.893,0.024,9.492,0.015,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
31484,10.288,0.022,99.99,2443681.804,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.792,0.029,9.402,0.02,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
31485,10.219,0.036,99.99,2443694.7213,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.736,0.038,9.359,0.03,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
31486,9.267,0.123,99.99,2443696.7013,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.627,0.124,8.751,0.12,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
31487,10.168,0.026,99.99,2443841.6206,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.732,0.048,9.324,0.022,99.99,9.99,99.99,9.99,1980MNRAS.192..621H
