,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
15345,11.63,9.99,99.99,2441766.645,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.17,9.99,9.84,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
15346,10.81,9.99,99.99,2441928.609,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.88,9.99,9.29,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
15347,10.99,9.99,99.99,2441929.606,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.2,9.99,9.41,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
15348,10.655,9.99,99.99,2444461.6827,9.99,7.583,9.99,99.99,9.99,9.99,99.99,8.405,9.99,99.99,9.99,9.293,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15349,10.682,9.99,99.99,2444461.729,9.99,7.59,9.99,99.99,9.99,9.99,99.99,8.404,9.99,99.99,9.99,9.297,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15350,10.666,9.99,99.99,2444823.6799,9.99,7.565,9.99,99.99,9.99,9.99,99.99,8.386,9.99,99.99,9.99,9.291,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15351,10.692,9.99,99.99,2444099.7844,9.99,7.603,9.99,99.99,9.99,9.99,99.99,8.418,9.99,99.99,9.99,9.307,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15352,10.715,9.99,99.99,2444461.7952,9.99,7.624,9.99,99.99,9.99,9.99,99.99,8.41,9.99,99.99,9.99,9.318,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15353,10.855,9.99,99.99,2444048.8696,9.99,7.621,9.99,99.99,9.99,9.99,99.99,8.449,9.99,99.99,9.99,9.376,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15354,10.864,9.99,99.99,2444886.6139,9.99,7.643,9.99,99.99,9.99,9.99,99.99,8.471,9.99,99.99,9.99,9.391,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15355,10.888,9.99,99.99,2444493.6551,9.99,7.629,9.99,99.99,9.99,9.99,99.99,8.471,9.99,99.99,9.99,9.387,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15356,10.945,9.99,99.99,2444400.9627,9.99,7.632,9.99,99.99,9.99,9.99,99.99,8.488,9.99,99.99,9.99,9.433,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15357,11.084,9.99,99.99,2444049.8613,9.99,7.687,9.99,99.99,9.99,9.99,99.99,8.543,9.99,99.99,9.99,9.515,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15358,11.12,9.99,99.99,2444380.9127,9.99,7.731,9.99,99.99,9.99,9.99,99.99,8.572,9.99,99.99,9.99,9.547,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15359,11.154,9.99,99.99,2444401.748,9.99,7.72,9.99,99.99,9.99,9.99,99.99,8.583,9.99,99.99,9.99,9.56,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15360,11.156,9.99,99.99,2444432.8143,9.99,7.724,9.99,99.99,9.99,9.99,99.99,8.586,9.99,99.99,9.99,9.571,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15361,11.164,9.99,99.99,2444908.5634,9.99,7.735,9.99,99.99,9.99,9.99,99.99,8.597,9.99,99.99,9.99,9.568,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15362,11.418,9.99,99.99,2444909.5834,9.99,7.859,9.99,99.99,9.99,9.99,99.99,8.72,9.99,99.99,9.99,9.73,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15363,11.422,9.99,99.99,2444402.8874,9.99,7.842,9.99,99.99,9.99,9.99,99.99,8.724,9.99,99.99,9.99,9.749,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15364,11.618,9.99,99.99,2444910.5612,9.99,7.957,9.99,99.99,9.99,9.99,99.99,8.839,9.99,99.99,9.99,9.881,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15365,11.696,9.99,99.99,2444486.7589,9.99,8.005,9.99,99.99,9.99,9.99,99.99,8.88,9.99,99.99,9.99,9.931,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15366,11.769,9.99,99.99,2444393.9705,9.99,8.021,9.99,99.99,9.99,9.99,99.99,8.903,9.99,99.99,9.99,9.972,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15367,11.78,9.99,99.99,2444383.9006,9.99,8.05,9.99,99.99,9.99,9.99,99.99,8.939,9.99,99.99,9.99,10.001,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15368,11.79,9.99,99.99,2444394.872,9.99,8.085,9.99,99.99,9.99,9.99,99.99,8.967,9.99,99.99,9.99,10.01,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15369,11.683,9.99,99.99,2444384.8982,9.99,8.077,9.99,99.99,9.99,9.99,99.99,8.952,9.99,99.99,9.99,9.986,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15370,11.614,9.99,99.99,2444105.7682,9.99,8.043,9.99,99.99,9.99,9.99,99.99,8.932,9.99,99.99,9.99,9.96,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15371,11.376,9.99,99.99,2444385.7848,9.99,7.941,9.99,99.99,9.99,9.99,99.99,8.795,9.99,99.99,9.99,9.804,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15372,11.312,9.99,99.99,2444106.7307,9.99,7.921,9.99,99.99,9.99,9.99,99.99,8.776,9.99,99.99,9.99,9.757,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15373,11.294,9.99,99.99,2444913.5608,9.99,7.892,9.99,99.99,9.99,9.99,99.99,8.754,9.99,99.99,9.99,9.744,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15374,11.283,9.99,99.99,2444044.8945,9.99,7.899,9.99,99.99,9.99,9.99,99.99,8.754,9.99,99.99,9.99,9.73,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15375,11.27,9.99,99.99,2444458.6965,9.99,7.91,9.99,99.99,9.99,9.99,99.99,8.766,9.99,99.99,9.99,9.733,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15376,11.252,9.99,99.99,2444458.7229,9.99,7.904,9.99,99.99,9.99,9.99,99.99,8.752,9.99,99.99,9.99,9.717,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15377,11.22,9.99,99.99,2444396.8468,9.99,7.867,9.99,99.99,9.99,9.99,99.99,8.73,9.99,99.99,9.99,9.7,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15378,11.059,9.99,99.99,2444914.5718,9.99,7.811,9.99,99.99,9.99,9.99,99.99,8.653,9.99,99.99,9.99,9.587,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15379,11.063,9.99,99.99,2444045.9113,9.99,7.81,9.99,99.99,9.99,9.99,99.99,8.652,9.99,99.99,9.99,9.584,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15380,11.05,9.99,99.99,2444490.6829,9.99,7.798,9.99,99.99,9.99,9.99,99.99,8.625,9.99,99.99,9.99,9.57,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15381,11.039,9.99,99.99,2444459.6818,9.99,7.802,9.99,99.99,9.99,9.99,99.99,8.644,9.99,99.99,9.99,9.57,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15382,11.011,9.99,99.99,2444821.6439,9.99,7.771,9.99,99.99,9.99,9.99,99.99,8.62,9.99,99.99,9.99,9.551,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15383,10.98,9.99,99.99,2444821.7964,9.99,7.779,9.99,99.99,9.99,9.99,99.99,8.614,9.99,99.99,9.99,9.54,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15384,10.995,9.99,99.99,2444397.8171,9.99,7.784,9.99,99.99,9.99,9.99,99.99,8.598,9.99,99.99,9.99,9.537,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
15385,11.0,9.99,99.99,2444397.8758,9.99,7.786,9.99,99.99,9.99,9.99,99.99,8.621,9.99,99.99,9.99,9.558,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
