,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
6325,11.68,9.99,99.99,2443420.62,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.25,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
6326,12.06,9.99,99.99,2443423.569,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.46,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
6327,12.19,9.99,99.99,2443424.584,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.52,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
6328,12.31,9.99,99.99,2443425.593,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.65,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
6329,12.23,9.99,99.99,2443483.602,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.76,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
6330,11.28,9.99,99.99,2443490.54,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.0,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
6331,11.13,9.99,99.99,2443598.349,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,9.93,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
6332,11.89,9.99,99.99,2443777.551,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.56,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
6333,12.4,9.99,99.99,2443791.586,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.72,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
6334,12.06,9.99,99.99,2443793.617,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.53,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
6335,11.99,9.99,99.99,2443849.411,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.52,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
6336,11.47,9.99,99.99,2443928.385,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.14,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
6337,11.85,9.99,99.99,2443931.403,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,10.27,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
