,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
16675,99.99,9.99,4.94,2445107.927,9.99,99.99,9.99,5.28,9.99,9.99,4.82,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16676,99.99,9.99,4.94,2445108.843,9.99,99.99,9.99,5.35,9.99,9.99,4.8,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16677,99.99,9.99,5.07,2445110.788,9.99,99.99,9.99,5.52,9.99,9.99,4.95,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16678,99.99,9.99,5.13,2445112.862,9.99,99.99,9.99,5.5,9.99,9.99,5.01,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16679,99.99,9.99,4.97,2445136.842,9.99,99.99,9.99,5.35,9.99,9.99,4.82,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16680,99.99,9.99,5.1,2445140.892,9.99,99.99,9.99,5.54,9.99,9.99,5.02,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16681,99.99,9.99,5.07,2445141.845,9.99,99.99,9.99,5.47,9.99,9.99,5.01,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16682,99.99,9.99,4.92,2445146.817,9.99,99.99,9.99,5.33,9.99,9.99,4.82,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16683,99.99,9.99,4.98,2445147.839,9.99,99.99,9.99,5.43,9.99,9.99,4.88,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16684,99.99,9.99,5.04,2445148.812,9.99,99.99,9.99,5.5,9.99,9.99,4.92,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16685,99.99,9.99,5.05,2445158.803,9.99,99.99,9.99,5.5,9.99,9.99,4.94,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16686,99.99,9.99,4.99,2445161.865,9.99,99.99,9.99,5.36,9.99,9.99,4.91,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16687,99.99,9.99,4.98,2445162.795,9.99,99.99,9.99,5.35,9.99,9.99,4.88,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16688,99.99,9.99,4.89,2445163.761,9.99,99.99,9.99,5.25,9.99,9.99,4.8,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16689,99.99,9.99,4.88,2445164.766,9.99,99.99,9.99,5.28,9.99,9.99,4.82,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16690,99.99,9.99,4.88,2445165.747,9.99,99.99,9.99,5.31,9.99,9.99,4.79,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16691,99.99,9.99,4.93,2445166.748,9.99,99.99,9.99,5.4,9.99,9.99,4.83,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16692,99.99,9.99,5.0,2445167.749,9.99,99.99,9.99,5.49,9.99,9.99,4.89,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16693,99.99,9.99,5.09,2445168.746,9.99,99.99,9.99,5.55,9.99,9.99,4.98,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16694,99.99,9.99,4.88,2445184.804,9.99,99.99,9.99,5.31,9.99,9.99,4.78,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16695,99.99,9.99,4.91,2445185.742,9.99,99.99,9.99,5.38,9.99,9.99,4.82,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16696,99.99,9.99,5.05,2445189.743,9.99,99.99,9.99,5.43,9.99,9.99,4.95,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16697,99.99,9.99,4.9,2445192.741,9.99,99.99,9.99,5.28,9.99,9.99,4.8,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16698,99.99,9.99,4.9,2445193.743,9.99,99.99,9.99,5.3,9.99,9.99,4.79,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16699,99.99,9.99,4.94,2445195.728,9.99,99.99,9.99,5.42,9.99,9.99,4.83,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16700,99.99,9.99,4.85,2445232.646,9.99,99.99,9.99,5.31,9.99,9.99,4.73,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,99.99,9.99,1984ApJS...54..547W
16701,7.902,9.99,99.99,2444494.6904,9.99,5.974,9.99,99.99,9.99,9.99,99.99,6.519,9.99,99.99,9.99,7.029,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
16702,7.958,9.99,99.99,2444437.7837,9.99,5.977,9.99,99.99,9.99,9.99,99.99,6.515,9.99,99.99,9.99,7.054,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
16703,8.081,9.99,99.99,2444485.7691,9.99,6.034,9.99,99.99,9.99,9.99,99.99,6.601,9.99,99.99,9.99,7.129,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
16704,8.441,9.99,99.99,2444047.952,9.99,6.144,9.99,99.99,9.99,9.99,99.99,6.715,9.99,99.99,9.99,7.335,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
16705,8.508,9.99,99.99,2444487.7528,9.99,6.18,9.99,99.99,9.99,9.99,99.99,6.758,9.99,99.99,9.99,7.388,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
16706,8.679,9.99,99.99,2444822.7403,9.99,6.247,9.99,99.99,9.99,9.99,99.99,6.853,9.99,99.99,9.99,7.504,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
16707,8.69,9.99,99.99,2444048.9547,9.99,6.254,9.99,99.99,9.99,9.99,99.99,6.867,9.99,99.99,9.99,7.511,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
16708,8.854,9.99,99.99,2444909.576,9.99,6.36,9.99,99.99,9.99,9.99,99.99,6.958,9.99,99.99,9.99,7.624,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
16709,8.891,9.99,99.99,2444049.9408,9.99,6.363,9.99,99.99,9.99,9.99,99.99,6.99,9.99,99.99,9.99,7.654,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
16710,8.901,9.99,99.99,2444432.8756,9.99,6.43,9.99,99.99,9.99,9.99,99.99,7.007,9.99,99.99,9.99,7.684,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
16711,8.883,9.99,99.99,2444461.7623,9.99,6.439,9.99,99.99,9.99,9.99,99.99,7.015,9.99,99.99,9.99,7.695,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
16712,8.827,9.99,99.99,2444490.7524,9.99,6.455,9.99,99.99,9.99,9.99,99.99,7.04,9.99,99.99,9.99,7.685,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
16713,8.462,9.99,99.99,2445265.589,9.99,6.239,9.99,99.99,9.99,9.99,99.99,6.817,9.99,99.99,9.99,7.428,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
16714,8.322,9.99,99.99,2444912.5594,9.99,6.195,9.99,99.99,9.99,9.99,99.99,6.731,9.99,99.99,9.99,7.331,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
