,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
14763,9.53,9.99,99.99,2442318.465,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.4,9.99,8.38,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14764,8.82,9.99,99.99,2442642.405,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.37,9.99,7.92,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14765,9.7,9.99,99.99,2442645.49,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.72,9.99,8.45,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14766,9.89,9.99,99.99,2442646.388,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.97,9.99,8.58,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14767,9.57,9.99,99.99,2442672.546,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.26,9.99,8.48,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14768,9.0,9.99,99.99,2442675.429,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.61,9.99,8.05,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14769,9.27,9.99,99.99,2442676.452,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.01,9.99,8.21,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14770,8.73,9.99,99.99,2442685.497,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,9.35,9.99,7.92,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14771,10.07,9.99,99.99,2442714.359,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.13,9.99,8.82,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14772,9.71,9.99,99.99,2442715.399,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.71,9.99,8.55,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14773,9.24,9.99,99.99,2442728.302,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,99.99,9.99,8.24,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14774,9.45,9.99,99.99,2442738.355,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,10.11,9.99,8.37,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
14775,10.06,9.99,99.99,2442756.331,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,11.2,9.99,8.73,9.99,99.99,9.99,99.99,9.99,1981CoKon..77.....S
