,B,Berr,H,HJD,Herr,Ic,Icerr,J,Jerr,Kerr,Ks,Rc,Rcerr,U,Uerr,V,Verr,[3.6],[3.6]err,[4.5],[4.5]err,ref
12227,11.37,9.99,99.99,2441761.696,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,13.12,9.99,9.7,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
12228,11.23,9.99,99.99,2441928.635,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.58,9.99,9.72,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
12229,11.4,9.99,99.99,2441929.622,9.99,99.99,9.99,99.99,9.99,9.99,99.99,99.99,9.99,12.81,9.99,9.82,9.99,99.99,9.99,99.99,9.99,1975ApJS...29..219M
12230,10.14,9.99,99.99,2444400.9748,9.99,7.768,9.99,99.99,9.99,9.99,99.99,8.402,9.99,99.99,9.99,9.079,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12231,10.259,9.99,99.99,2444878.6127,9.99,7.786,9.99,99.99,9.99,9.99,99.99,8.448,9.99,99.99,9.99,9.139,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12232,10.331,9.99,99.99,2444078.8292,9.99,7.819,9.99,99.99,9.99,9.99,99.99,8.473,9.99,99.99,9.99,9.18,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12233,10.338,9.99,99.99,2444491.672,9.99,7.823,9.99,99.99,9.99,9.99,99.99,8.492,9.99,99.99,9.99,9.197,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12234,10.543,9.99,99.99,2444402.8315,9.99,7.883,9.99,99.99,9.99,9.99,99.99,8.58,9.99,99.99,9.99,9.338,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12235,10.762,9.99,99.99,2444106.7492,9.99,7.927,9.99,99.99,9.99,9.99,99.99,8.644,9.99,99.99,9.99,9.425,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12236,10.917,9.99,99.99,2444494.6641,9.99,7.983,9.99,99.99,9.99,9.99,99.99,8.706,9.99,99.99,9.99,9.523,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12237,11.138,9.99,99.99,2444482.7393,9.99,8.072,9.99,99.99,9.99,9.99,99.99,8.816,9.99,99.99,9.99,9.661,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12238,11.168,9.99,99.99,2444908.583,9.99,8.092,9.99,99.99,9.99,9.99,99.99,8.829,9.99,99.99,9.99,9.675,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12239,11.358,9.99,99.99,2444483.7476,9.99,8.17,9.99,99.99,9.99,9.99,99.99,8.928,9.99,99.99,9.99,9.789,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12240,11.394,9.99,99.99,2444909.592,9.99,8.194,9.99,99.99,9.99,9.99,99.99,8.945,9.99,99.99,9.99,9.82,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12241,11.419,9.99,99.99,2444380.9467,9.99,8.227,9.99,99.99,9.99,9.99,99.99,8.971,9.99,99.99,9.99,9.849,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12242,11.476,9.99,99.99,2444393.9853,9.99,8.274,9.99,99.99,9.99,9.99,99.99,9.018,9.99,99.99,9.99,9.896,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12243,11.497,9.99,99.99,2444432.8271,9.99,8.268,9.99,99.99,9.99,9.99,99.99,9.011,9.99,99.99,9.99,9.892,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12244,11.541,9.99,99.99,2444045.9368,9.99,8.268,9.99,99.99,9.99,9.99,99.99,9.026,9.99,99.99,9.99,9.914,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12245,11.56,9.99,99.99,2444910.5703,9.99,8.303,9.99,99.99,9.99,9.99,99.99,9.047,9.99,99.99,9.99,9.94,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12246,11.647,9.99,99.99,2444433.7975,9.99,8.362,9.99,99.99,9.99,9.99,99.99,9.098,9.99,99.99,9.99,9.998,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12247,11.654,9.99,99.99,2444046.9353,9.99,8.361,9.99,99.99,9.99,9.99,99.99,9.118,9.99,99.99,9.99,10.011,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12248,11.632,9.99,99.99,2444485.6921,9.99,8.37,9.99,99.99,9.99,9.99,99.99,9.128,9.99,99.99,9.99,10.012,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12249,11.614,9.99,99.99,2444821.7877,9.99,8.41,9.99,99.99,9.99,9.99,99.99,9.16,9.99,99.99,9.99,10.039,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12250,11.637,9.99,99.99,2444434.7801,9.99,8.411,9.99,99.99,9.99,9.99,99.99,9.154,9.99,99.99,9.99,10.038,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12251,11.629,9.99,99.99,2444047.899,9.99,8.392,9.99,99.99,9.99,9.99,99.99,9.149,9.99,99.99,9.99,10.042,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12252,11.598,9.99,99.99,2444912.578,9.99,8.407,9.99,99.99,9.99,9.99,99.99,9.158,9.99,99.99,9.99,10.024,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12253,11.477,9.99,99.99,2444383.9196,9.99,8.36,9.99,99.99,9.99,9.99,99.99,9.103,9.99,99.99,9.99,9.969,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12254,11.477,9.99,99.99,2444383.954,9.99,8.355,9.99,99.99,9.99,9.99,99.99,9.091,9.99,99.99,9.99,9.962,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12255,11.43,9.99,99.99,2444822.7679,9.99,8.344,9.99,99.99,9.99,9.99,99.99,9.081,9.99,99.99,9.99,9.939,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12256,11.4,9.99,99.99,2445261.5801,9.99,8.327,9.99,99.99,9.99,9.99,99.99,9.064,9.99,99.99,9.99,9.923,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12257,11.349,9.99,99.99,2444048.8982,9.99,8.301,9.99,99.99,9.99,9.99,99.99,9.038,9.99,99.99,9.99,9.884,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12258,11.253,9.99,99.99,2444100.7898,9.99,8.248,9.99,99.99,9.99,9.99,99.99,8.992,9.99,99.99,9.99,9.825,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12259,11.243,9.99,99.99,2444913.5732,9.99,8.269,9.99,99.99,9.99,9.99,99.99,8.984,9.99,99.99,9.99,9.826,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12260,11.128,9.99,99.99,2444384.9119,9.99,8.196,9.99,99.99,9.99,9.99,99.99,8.933,9.99,99.99,9.99,9.759,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12261,11.129,9.99,99.99,2444397.8888,9.99,8.203,9.99,99.99,9.99,9.99,99.99,8.919,9.99,99.99,9.99,9.75,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12262,11.045,9.99,99.99,2444049.8772,9.99,8.182,9.99,99.99,9.99,9.99,99.99,8.906,9.99,99.99,9.99,9.711,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12263,11.03,9.99,99.99,2444914.5837,9.99,8.166,9.99,99.99,9.99,9.99,99.99,8.897,9.99,99.99,9.99,9.69,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12264,10.966,9.99,99.99,2444385.7924,9.99,8.171,9.99,99.99,9.99,9.99,99.99,8.873,9.99,99.99,9.99,9.676,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12265,10.925,9.99,99.99,2444437.7473,9.99,8.147,9.99,99.99,9.99,9.99,99.99,8.842,9.99,99.99,9.99,9.635,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12266,10.862,9.99,99.99,2444463.7101,9.99,8.134,9.99,99.99,9.99,9.99,99.99,8.823,9.99,99.99,9.99,9.608,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12267,10.904,9.99,99.99,2444463.7295,9.99,8.144,9.99,99.99,9.99,9.99,99.99,8.847,9.99,99.99,9.99,9.619,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12268,10.875,9.99,99.99,2444463.7517,9.99,8.143,9.99,99.99,9.99,9.99,99.99,8.847,9.99,99.99,9.99,9.608,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12269,10.874,9.99,99.99,2444463.7742,9.99,8.144,9.99,99.99,9.99,9.99,99.99,8.839,9.99,99.99,9.99,9.619,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12270,10.877,9.99,99.99,2444463.8125,9.99,8.122,9.99,99.99,9.99,9.99,99.99,8.81,9.99,99.99,9.99,9.592,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12271,10.876,9.99,99.99,2444463.8303,9.99,8.127,9.99,99.99,9.99,9.99,99.99,8.816,9.99,99.99,9.99,9.591,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12272,10.4,9.99,99.99,2444464.6781,9.99,7.932,9.99,99.99,9.99,9.99,99.99,8.602,9.99,99.99,9.99,9.298,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12273,10.361,9.99,99.99,2444464.7011,9.99,7.914,9.99,99.99,9.99,9.99,99.99,8.554,9.99,99.99,9.99,9.247,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12274,10.429,9.99,99.99,2445264.5813,9.99,7.93,9.99,99.99,9.99,9.99,99.99,8.592,9.99,99.99,9.99,9.296,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12275,10.357,9.99,99.99,2444464.7218,9.99,7.882,9.99,99.99,9.99,9.99,99.99,8.558,9.99,99.99,9.99,9.24,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12276,10.304,9.99,99.99,2444464.7486,9.99,7.898,9.99,99.99,9.99,9.99,99.99,8.546,9.99,99.99,9.99,9.236,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12277,10.3,9.99,99.99,2444464.7769,9.99,7.844,9.99,99.99,9.99,9.99,99.99,8.521,9.99,99.99,9.99,9.206,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12278,10.234,9.99,99.99,2444490.6882,9.99,7.821,9.99,99.99,9.99,9.99,99.99,8.476,9.99,99.99,9.99,9.159,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12279,10.086,9.99,99.99,2444387.8958,9.99,7.751,9.99,99.99,9.99,9.99,99.99,8.393,9.99,99.99,9.99,9.048,9.99,99.99,9.99,99.99,9.99,1984ApJS...55..389M
12280,11.62,9.99,99.99,2444072.506,9.99,8.362,9.99,99.99,9.99,9.99,99.99,9.151,9.99,99.99,9.99,9.987,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....4C
12281,11.3,9.99,99.99,2444152.307,9.99,8.28,9.99,99.99,9.99,9.99,99.99,9.045,9.99,99.99,9.99,9.838,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....4C
12282,10.565,9.99,99.99,2444389.628,9.99,7.874,9.99,99.99,9.99,9.99,99.99,8.573,9.99,99.99,9.99,9.296,9.99,99.99,9.99,99.99,9.99,2001JAD.....7....4C
