star,period,n_B,mean_B,n_V,mean_V,n_R,mean_R,n_I,mean_I,n_J,mean_J,n_H,mean_H,n_K,mean_K
AAGem,11.30267,91,10.85463,148,9.73900,96,9.11780,47,8.54640,23,7.64939,23,7.19393,23,7.09082
AAMon,3.93817,23,14.17907,24,12.79791,23,11.93052,23,11.09817,22,9.74254,21,9.19227,22,8.99249
AASer,17.14119,111,14.63176,194,12.27416,55,10.90123,94,9.61393,21,7.54824,21,6.76336,21,6.49551
ACMon,8.01425,23,11.32185,48,10.10537,28,9.40169,35,8.72025,22,7.58204,22,7.06265,22,6.88676
ADGem,3.78798,95,10.59871,95,9.88122,65,9.44327,64,9.02272,41,8.47100,41,8.14470,41,8.06406
AKCep,7.23268,35,12.57529,80,11.22002,29,10.41099,15,9.65970,21,8.41119,21,7.88794,21,7.74324
ANAur,10.29061,99,11.71996,149,10.48509,105,9.74264,0,nan,20,7.94382,20,7.44269,20,7.27524
AOAur,6.76299,20,12.01922,40,10.89279,20,10.25109,0,nan,21,8.60710,21,8.16398,21,8.04571
ASPer,4.97200,76,10.80563,115,9.65321,62,8.87918,44,8.14659,18,6.93430,18,6.46109,18,6.29425
ASVul,12.22472,108,14.21947,122,12.28643,64,11.13872,12,10.04063,32,8.37836,32,7.71923,32,7.49284
AVTau,3.61587,63,13.76782,80,12.35667,71,11.48648,5,10.61300,22,9.20395,22,8.63865,22,8.44564
AWPer,6.46359,92,8.60025,139,7.49502,47,6.85466,34,6.22155,24,5.23038,24,4.82285,24,4.69454
AXAur,3.04664,52,13.58824,65,12.43107,57,11.74836,9,11.06699,18,9.93907,18,9.47879,18,9.32545
AYSgr,6.56959,15,12.14098,95,10.57493,4,9.76650,72,8.73887,25,7.12794,25,6.52074,25,6.30100
BEMon,2.70551,27,11.75457,80,10.58471,40,9.89295,43,9.25364,19,8.26848,19,7.84215,18,7.71475
BGLac,5.33191,101,9.88087,175,8.89880,93,8.34462,73,7.79074,53,7.03389,53,6.64204,53,6.52180
BKAur,8.00243,38,10.57019,47,9.48253,16,8.82319,9,8.25305,19,7.30588,19,6.87871,19,6.75726
BMPer,22.95599,110,12.34203,113,10.48908,81,9.38415,0,nan,26,6.67205,26,5.99970,26,5.75499
BRVul,5.19717,77,12.22493,91,10.72062,77,9.84437,14,9.03806,28,7.72162,28,7.21701,28,7.03981
BVMon,3.01394,91,12.55121,257,11.40341,67,10.73101,198,10.04860,17,9.02624,17,8.57508,17,8.45912
BZCyg,10.14194,83,11.85599,146,10.23956,64,9.25852,19,8.32282,26,6.75853,27,6.13790,27,5.90003
CDCas,7.80089,44,12.19612,75,10.49906,29,9.91898,8,9.02168,25,7.63220,25,7.07953,25,6.89814
CDCyg,17.07395,139,10.40935,230,9.03745,139,8.21901,53,7.51147,46,6.36660,46,5.84986,46,5.69492
CFCas,4.87522,290,12.39433,470,11.14921,378,10.41580,62,9.73936,37,8.60995,37,8.12714,36,7.94395
CHCas,15.09215,74,12.76529,126,11.72246,92,10.03394,13,9.06107,21,7.32372,21,6.67531,21,6.41530
CKSct,7.41522,21,12.15859,60,10.62543,21,9.62944,27,8.77059,19,7.38272,19,6.80895,19,6.63085
CNCep,9.50250,97,14.23124,109,12.36483,107,11.22434,0,nan,21,8.32099,21,7.62975,21,7.36857
CNSct,9.99229,82,14.61237,97,12.50203,56,11.15527,11,9.86219,23,7.82609,23,7.05774,23,6.72940
CPCep,17.86442,82,12.28919,144,10.60130,99,9.65802,17,8.77893,22,7.33656,22,6.71612,22,6.51663
CRCep,6.23297,101,11.09615,171,9.64425,67,8.77571,54,7.97616,22,6.64097,22,6.08503,22,5.90944
CRSer,5.30141,48,12.54584,73,10.90059,53,9.88788,16,8.91109,20,7.34402,20,6.75186,20,6.52528
