star,ra, dec, nrv, spectograph
ADCru,12:12:49.3994,-62:06:54.288,3,FEROS
AEVel,9:36:42.9504,-53:02:33.108,1,FEROS
AGCru,12:41:16.1345,-59:48:46.224,1,FEROS
AOCMa,7:24:36.0478,-26:11:13.272,1,FEROS
APPup,7:57:40.0234,-40:08:14.316,1,FEROS
APVel,8:39:38.7806,-43:51:58.896,2,FEROS
AQCar,10:21:12.5227,-61:05:28.608,1,FEROS
ATPup,8:12:17.3318,-36:57:30.636,1,FEROS
AVCir,14:50:17.1742,-67:30:58.68,1,FEROS
AVSgr,18:04:42.9182,-22:44:15.324,28,FEROS
AXCir,14:52:24.0456,-63:49:42.132,2,FEROS
AXVel,8:10:41.519,-47:42:17.316,2,FEROS
AYCen,11:24:55.6303,-60:45:07.92,1,FEROS
AZCen,11:25:02.9993,-61:23:13.308,1,FEROS
BBCen,11:53:22.3351,-62:52:10.668,1,FEROS
BFOph,17:05:59.7014,-26:35:18.672,1,FEROS
BGVel,9:08:07.603,-51:26:46.716,1,FEROS
BKCen,11:49:04.0015,-63:05:07.584,2,FEROS
BMPup,7:50:03.1781,-28:15:23.04,1,FEROS
BPCir,14:46:30.9658,-61:28:21.792,1,FEROS
BQSer,18:36:10.5358,4:23:37.788,3,FEROS
CEPup,8:14:01.8262,-42:34:56.928,3,FEROS
CNCar,10:15:23.8267,-58:11:26.808,3,FEROS
CNSct,18:42:25.8,-4:20:09.42,1,FEROS
CROri,6:05:41.0611,13:14:27.384,2,FEROS
CSVel,9:41:02.7298,-53:49:55.164,3,FEROS
CXVel,9:06:30.7392,-52:22:25.32,3,FEROS
CYCar,10:57:40.6872,-60:45:33.732,1,FEROS
DDVel,9:12:03.408,-50:22:32.52,4,FEROS
DKVel,9:17:09.0506,-53:06:05.832,3,FEROS
DRVel,9:31:33.4476,-49:40:19.452,1,FEROS
DYCar,10:52:22.4755,-60:32:15.288,3,FEROS
EKPup,7:41:49.745,-25:02:34.152,1,FEROS
ERCar,11:09:31.5653,-58:51:20.124,1,FEROS
EVSct,18:36:35.2471,-8:10:56.1,25,FEROS
EWSct,18:37:45.8717,-6:47:59.172,3,FEROS
EXVel,9:19:53.0909,-52:51:58.068,3,FEROS
EYCar,10:42:11.8572,-61:10:22.476,2,FEROS
EZVel,9:24:59.5721,-53:12:36.324,7,FEROS
FGVel,9:33:16.133,-52:46:20.892,3,FEROS
FICar,10:50:53.1134,-58:36:32.112,3,FEROS
FNVel,9:48:31.523,-55:30:50.724,2,FEROS
FOCar,11:01:13.1225,-62:17:48.912,8,FEROS
FRCar,11:14:11.7814,-60:04:15.06,1,FEROS
GHCar,11:10:35.0806,-60:46:06.96,1,FEROS
GHLup,15:24:30.5462,-52:52:17.256,1,FEROS
GUNor,16:14:46.8955,-53:21:21.528,1,FEROS
GXCar,9:55:17.0374,-58:26:47.832,1,FEROS
GZCar,10:20:09.9936,-59:23:00.06,2,FEROS
HWCar,10:39:10.5732,-61:10:15.312,1,FEROS
HWPup,7:57:38.1379,-27:35:59.208,4,FEROS
IOCar,10:56:16.7326,-60:45:02.016,3,FEROS
ITCar,11:12:00.0922,-61:46:23.556,1,FEROS
KKCen,11:42:39.1094,-59:00:38.808,3,FEROS
